Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR
title	How to Follow\nYour Dream	Как добраться\nдо мечты	Den Traum verwirklichen	Ton rêve\nest tout près	Quando un sogno diventa realtà	Como ir em busca do seu sonho	Cómo alcanzar\ntus sueños	夢の追い方	Cara Mengejar Mimpi	Mengejar Impianmu	الطريق إلى الحلم
author	Dale Neal	Дэил Нил	Dale Neal	Dale Neal	Dale Neal	Dale Neal	Dale Neal	Dale Neal	Dale Neal	Dale Neal	ديل نيل
illustrator	Vicky Amrullah	Викки Амруллах	Vicky Amrullah	Vicky Amrullah	Vicky Amrullah	Vicky Amrullah	Vicky Amrullah	Vicky Amrullah	Vicky Amrullah	Vicky Amrullah	فيكي أمر الله
composer	Artem Akmulin	Артём Акмулин	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	أرتم أكملين
boy.description	What challenges would you overcome in the pursuit of your\ndream? Embark on a daring adventure as a brave young\nsquirrel tries to climb the tallest tree in the forest.\nChallenges await at every step!	Какие препятствия ты мог бы преодолеть в погоне\nза своей мечтой? Начни смелое путешествие, так же как\nсмелый бельчонок, который пытается влезть на самое\nвысокое дерево в лесу. Препятствия на каждом шагу!	Welche Hindernisse würdest du für deinen Traum überwinden? Erlebe ein spannendes Abenteuer und sei dabei, wenn ein mutiges Eichhörnchen den höchsten Berg im Wald erklimmt. Überall lauern Hindernisse!	Jusqu'où iras-tu pour atteindre ton rêve ? Entreprends un\nvoyage audacieux comme le petit écureuil qui veut grimper\nen haut du plus grand arbre de la forêt. A chaque branche,\nt’attend un nouvel obstacle !	Quali prove affronteresti per inseguire un sogno? Vivi\nl’avventura di uno scoiattolino coraggioso che cerca\ndi arrampicarsi sull’albero più alto della foresta. A ogni ramo,\nti aspetta una nuova sfida!	Que desafios você enfrentaria em busca do seu sonho?\nEmbarque nesta aventura ousada sobre um esquilo jovem\ne corajoso que tenta escalar a árvore mais alta da floresta.\nOs desafios estão por toda parte!	¿Qué desafíos enfrentarías para alcanzar tus sueños?\nSumate a una audaz aventura en la que una joven\ny valiente ardilla intenta trepar el árbol más alto del bosque.\n¡Encontrará desafíos a cada paso!	夢を達成するために挑戦しなきゃいけないことは何かな？冒険の旅に出る勇敢なリスになって、森一番の高い木を登りきろう！たくさんの挑戦が待ってるよ！	Tantangan apa yang akan kamu atasi dalam mengejar mimpi? Mulailah petualangan penuh nyali sebagai seekor tupai muda pemberani yang memanjat pohon tertinggi di hutan. Beragam tantangan menanti di setiap langkah!	Apakah cabaran yang akan kamu atasi dalam mengejar impian kamu? Mulakan pengembaraan yang amat berani sebagai anak tupai yang cuba memanjat pokok paling tinggi di hutan. Cabaran menanti pada setiap langkah!	ما هي التحديات التي ستُواجهها في سبيل تحقيق حلمك؟ انطلق في مُغامرةٍ جريئة مع سنجابٍ شُجاع يُحاول تسلّق أعلى شجرة في الغابة، مُواجهًا مخاطرًا ومُفاجآتٍ في كل خطوة!
boy.description.iphone	What challenges would you overcome in the pursuit of your dream?\nEmbark on a daring adventure as a brave young squirrel tries to climb\nthe tallest tree in the forest. Challenges await at every step!	Какие препятствия ты мог бы преодолеть в погоне за своей мечтой?\nНачни смелое путешествие, так же как смелый бельчонок,\nкоторый пытается влезть на самое высокое дерево в лесу.	Welche Hindernisse würdest du für deinen Traum überwinden? Erlebe ein spannendes Abenteuer und sei dabei, wenn ein mutiges Eichhörnchen den höchsten Berg im Wald erklimmt. Überall lauern Hindernisse!	Jusqu'où iras-tu pour atteindre ton rêve ? Entreprends un voyage audacieux\ncomme le petit écureuil qui veut grimper en haut du plus grand arbre\nde la forêt. A chaque branche, t’attend un nouvel obstacle !	Quali prove affronteresti per inseguire un sogno? Vivi l’avventura\ndi uno scoiattolino coraggioso che cerca di arrampicarsi sull’albero\npiù alto della foresta. A ogni ramo, ti aspetta una nuova sfida!	Que desafios você enfrentaria em busca do seu sonho? Embarque nesta\naventura ousada sobre um esquilo jovem e corajoso que tenta escalar\na árvore mais alta da floresta. Os desafios estão por toda parte!	¿Qué desafíos enfrentarías para alcanzar tus sueños? Sumate\na una audaz aventura en la que una joven y valiente ardilla intenta trepar\nel árbol más alto del bosque. ¡Encontrará desafíos a cada paso!	夢を達成するために挑戦しなきゃいけないことは何かな？冒険の旅に出る勇敢なリスになって、森一番の高い木を登りきろう！たくさんの挑戦が待ってるよ！	Tantangan apa yang akan kamu atasi dalam mengejar mimpi? Mulailah petualangan penuh nyali sebagai seekor tupai muda pemberani yang memanjat pohon tertinggi di hutan. Beragam tantangan menanti di setiap langkah!	Apakah cabaran yang akan kamu atasi dalam mengejar impian kamu? Mulakan pengembaraan yang amat berani sebagai anak tupai yang cuba memanjat pokok paling tinggi di hutan. Cabaran menanti pada setiap langkah!	ما هي التحديات التي ستُواجهها في سبيل تحقيق حلمك؟ انطلق في مُغامرةٍ جريئة مع سنجابٍ شُجاع يُحاول تسلّق أعلى شجرة في الغابة، مُواجهًا مخاطرًا ومُفاجآتٍ في كل خطوة!
boy.page.1	Deep in the woods there once lived a squirrel, {NAME:P1},\nwho had never climbed a tree.	В густом лесу жил-был бельчонок {NAME:P1},\nкоторый никогда не влезал на дерево.	Tief im Wald lebte einst das Eichhörnchen {NAME:P1},\ndas noch nie auf einen Baum geklettert war.	Au fond des bois vivait un petit écureuil qui s’appelait {NAME:P1}\net qui n’avait jamais encore grimpé à un arbre.	C’era una volta, nella foresta più fitta, uno scoiattolino\ndi nome {NAME:P1}, che non si era mai arrampicato su un albero.	Nas profundezas da floresta, vivia um esquilo chamado {NAME:P1}.\nEle nunca tinha subido em uma árvore.	Había una vez una ardilla, {NAME:P1},\nque vívía en lo más profundo del bosque y nunca había trepado a un árbol.	森⁠の​奥深く⁠に、​まだ⁠一⁠度⁠も​木⁠に​登っ⁠た​こと⁠の​ない、\n{NAME:P1}​という​リス⁠が​い⁠まし⁠た。	Alkisah nun jauh di tengah hutan, hiduplah seekor tupai,\n{NAME:P1}, yang tidak pernah memanjat pohon seumur hidupnya.	Pada suatu masa, jauh di dalam hutan tinggal seekor tupai,\n{NAME:P1}, yang tidak pernah memanjat pokok.	في أعماق الغابة، عاش سنجابٌ صغير يُدعى {NAME:P1}.\nلم يَتسلق أي شجرة في حياته.
boy.page.2	Every day he would gaze up at the tree tops,\ndreaming of all the wonderful adventures he might have up there.	Каждый день он вглядывался в вершины деревьев,\nмечтая о чудесных приключениях, которые ожидали его там, наверху.	Jeden Tag blickte er zum Wipfel der Bäume empor, wobei er\nvon den wundervollen Abenteuern träumte, die ihn dort oben erwarteten.	Chaque jour, il scrutait les cimes\nen rêvant aux merveilleuses aventures qui l'attendaient là-haut.	Ogni giorno guardava a lungo le cime degli alberi\ne sognava le belle avventure che avrebbe potuto vivere lassù.	Todos os dias, ele ficava observando o topo das árvores e sonhando\ncom todas as maravilhosas aventuras que poderia encontrar por lá.	Contemplaba las copas de los árboles todos los días,\nsoñando con las maravillosas aventuras que allí podría pergeñar.	毎日、​{NAME:P1}​は​木⁠の​てっぺん⁠を​見つめ、​そこ⁠に\nどんな⁠冒険⁠が​広がっ⁠て​いる​の⁠か⁠を​想像​し⁠ます。	Setiap hari dia melihat ke atas puncak pepohonan, memimpikan\nsemua petualangan seru yang mungkin bisa dia nikmati di atas sana.	Setiap hari dia akan merenung jauh ke puncak pokok, mengimpikan\nsemua pengembaraan hebat yang mungkin ditemuinya nun di atas.	كان يقضي أوقاته يُحدّق في قمم الأشجار العالية،\nيَحلم بِمُغامراتٍ مُثيرة في ذلك العالم المجهول.
boy.page.3	But the trees seemed so high and he was just too afraid.	Но деревья выглядели слишком высокими, и он боялся.	Aber die Bäume schienen so hoch zu sein, und er hatte zu viel Angst.	Mais les arbres semblaient trop grands et lui faisaient peur.	Ma gli alberi erano così alti, e lui aveva tanta paura!	Mas as árvores pareciam altas demais e ele tinha muito medo.	Pero los árboles parecían tan altos, y él tenía mucho miedo.	しかし、​木⁠は​とても⁠高く、\n​{NAME:P1}​は​怖く⁠て​登れ⁠ませ⁠ん⁠でし⁠た。	Tetapi pohon-pohon itu terlalu tinggi dan dia terlalu ketakutan.	Namun pokok-pokok itu kelihatan terlalu tinggi dan dia pula terlalu takut.	لكن الأشجار بدت له شاهقة للغاية، وكان الخوف يَتملّكه كلما فكّر في تسلّقها.
boy.page.4	One day, {NAME:P2} friends were happily playing\nin the highest tree in the forest.	Однажды друзья {NAME:P2} радостно играли\nна самом высоком дереве в лесу.	Eines Tages spielten die Freunde von {NAME:P1}\nfröhlich im höchsten Baum des Waldes.	Un jour, ses amis s’amusaient sur le plus grand arbre de la forêt.	Un giorno, gli amici di {NAME:P1} stavano\ngiocando sull’albero più alto della foresta.	Certo dia, os amigos do {NAME:P1} estavam\nbrincando felizes na árvore mais alta da floresta.	Un día, los amigos de {NAME:P1} estaban\njugando alegremente en el árbol más alto del bosque.	ある⁠日、​{NAME:P1}​の​友達⁠たち⁠が、\n森⁠で​一番​高い​木⁠の​上⁠で​遊ん⁠で​い⁠まし⁠た。	Suatu hari, teman-teman {NAME:P1} sedang riang\nbermain di pohon tertinggi yang ada di hutan itu.	Suatu hari, kawan-kawan {NAME:P1} bermain\ndengan gembira di atas pokok tertinggi di dalam hutan.	وفي أحد الأيام، كان أصدقاء {NAME:P1} يلعبون بِمرح في أعلى شجرة في الغابة.
