Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR	SV	NL	PL
title	A Good Idea?	Хорошая идея?	Eine Gute Idee?	Une bonne idée ?	Una buona idea?	Será que é uma\nboa ideia?	¿Es una\nbuena idea?	すばらしい\nアイデア?	Ide Baguskah Itu?	Idea Yang Baik?	فكرة سديدة؟	En bra idé?	Een goed idee?	Dobry Pomysł?
author	Yuliya Medvedeva	Юлия Медведева	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	يوليا ميدفيديفا	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva
illustrator	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós
composer	Artem Akmulin	Артём Акмулин	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	أرتم أكملين	Artem Akmulin	Artem Akmulin	Artem Akmulin
author.title	Author	Автор	Autorin	Autrice	Autrice	Autora	Autora	作者	Penulis	Pengarang	المؤلفة	Författare	Auteur	Autorka
illustrator.title	Illustrators	Художники	Illustrator	Illustrateur	Illustratore	Ilustrador	Ilustrador	イラストレーター	Ilustrator	Pereka ilustrasi	الرسام	Illustratör	Illustrator	Ilustrator
composer.title	Composer	Композитор	Komponist	Compositeur	Compositore	Compositor	Compaginador	作曲家	Komposer	Komposer	الملحن	Kompositör	Componist	Kompozytor
boy.description	One hot and sunny summer day, a raccoon decided on a great way to stay cool. But why didn’t the other animals appreciate the idea? How could this good idea lead to trouble? Let’s find out from this story.	Одним очень жарким летом енот придумал, как обхитрить погоду и наслаждаться прохладой. Но почему лесные жители оказались не рады этой затее, и почему это всё могло обернуться бедой – узнайте в этой истории! 	An einem heißen Sommertag hatte ein Waschbär eine tolle Idee, um sich abzukühlen. Aber warum mochten die anderen Tiere die Idee nicht? Wie konnte diese gute Idee so viel Ärger verursachen? Finden wir es heraus.	Un jour d’été chaud et ensoleillé, un raton laveur trouve une façon géniale de rester au frais. Mais pourquoi les autres animaux n’aiment pas son idée ? Découvrons-le avec cette histoire.	Un giorno d’estate un procione trova un modo geniale di rimanere al fresco. Ma come mai gli altri animali non apprezzano la sua idea? Com’è possibile che causi tanti problemi? Scopriamolo in questa storia.	Em um dia quente e ensolarado de verão, um guaxinim teve uma ideia genial para se refrescar. Mas por que os outros animais não gostaram da ideia? Qual seria o problema? É o que vamos descobrir nesta história!	En un caluroso día de verano, un mapache tuvo una idea para poder refrescarse. Pero, ¿por qué a los otros animales no les gustó su idea? ¿Por qué esa buena idea generó tantos problemas? Averigüémoslo en este cuento. 	晴れた暑い夏の日、アライグマは涼しく過ごす良い方法を見つけました。でも、なぜ他の動物はその方法が気に入らないの？どんな問題が起こる？物語から探してみよう。	Di hari panas dan cerahnya musim panas, seekor rakun menemukan cara tepat agar tubuh tetap dingin. Tapi kenapa hewan lain meremehkan idenya? Kenapa ide bagus ini malah bermasalah? Yuk cari tahu dari cerita ini.	Pada hari musim panas yang hangat dan cerah, rakun mencari cara hebat untuk berasa sejuk. Tetapi kenapa haiwan lain tidak suka idea ini? Bagaimana idea yang baik ini membawa masalah? Ketahui daripada kisah ini.	ذات نهارٍ صيفيّ مشمس، قرّر الراكون تنفيذ خطةٍ عبقريةٍ للتخفيف من وطأة الحرّ. لم تُعجب خطّته الحيوانات الأخرى، فما السبب؟ كيف تسبّبت الفكرة السديدة بالمشاكل؟ لنكتشف معًا في هذه القصة.	En varm sommardag kommer en tvättbjörn på ett bra sätt att hålla sig sval. Men varför tycker inte de andra djuren om idén? Hur kunde den leda till trubbel? Låt oss ta reda på det i den här berättelsen.	Op een hete zomerdag heeft een wasbeer een geweldig idee om koel te blijven. Maar waarom vinden de andere dieren het geen goed plan? Waarom zorgt zijn goede idee voor problemen? Dat ontdek je in dit verhaal.	Pewnego słonecznego dnia szop wpadł na pomysł, jak się ochłodzić. Ale dlaczego zwierzętom ten pomysł się nie spodobał? Jak coś tak dobrego mogło przysporzyć tylu kłopotów? Dowiedzmy się z tej historii!
boy.description.iphone	One hot and sunny summer day, a raccoon decided on a great way to stay cool. But why didn’t the other animals appreciate the idea? How could this good idea lead to trouble? Let’s find out from this story.	Одним очень жарким летом енот придумал, как обхитрить погоду и наслаждаться прохладой. Но почему лесные жители оказались не рады этой затее, и почему это всё могло обернуться бедой – узнайте в этой истории! 	An einem heißen Sommertag hatte ein Waschbär eine tolle Idee, um sich abzukühlen. Aber warum mochten die anderen Tiere die Idee nicht? Wie konnte diese gute Idee so viel Ärger verursachen? Finden wir es heraus.	Un jour d’été chaud et ensoleillé, un raton laveur trouve une façon géniale de rester au frais. Mais pourquoi les autres animaux n’aiment pas son idée ? Découvrons-le avec cette histoire.	Un giorno d’estate un procione trova un modo geniale di rimanere al fresco. Ma come mai gli altri animali non apprezzano la sua idea? Com’è possibile che causi tanti problemi? Scopriamolo in questa storia.	Em um dia quente e ensolarado de verão, um guaxinim teve uma ideia genial para se refrescar. Mas por que os outros animais não gostaram da ideia? Qual seria o problema? É o que vamos descobrir nesta história!	En un caluroso día de verano, un mapache tuvo una idea para poder refrescarse. Pero, ¿por qué a los otros animales no les gustó su idea? ¿Por qué esa buena idea generó tantos problemas? Averigüémoslo en este cuento. 	晴れた暑い夏の日、アライグマは涼しく過ごす良い方法を見つけました。でも、なぜ他の動物はその方法が気に入らないの？どんな問題が起こる？物語から探してみよう。	Di hari panas dan cerahnya musim panas, seekor rakun menemukan cara tepat agar tubuh tetap dingin. Tapi kenapa hewan lain meremehkan idenya? Kenapa ide bagus ini malah bermasalah? Yuk cari tahu dari cerita ini.	Pada hari musim panas yang hangat dan cerah, rakun mencari cara hebat untuk berasa sejuk. Tetapi kenapa haiwan lain tidak suka idea ini? Bagaimana idea yang baik ini membawa masalah? Ketahui daripada kisah ini.	ذات نهارٍ صيفيّ مشمس، قرّر الراكون تنفيذ خطةٍ عبقريةٍ للتخفيف من وطأة الحرّ. لم تُعجب خطّته الحيوانات الأخرى، فما السبب؟ كيف تسبّبت الفكرة السديدة بالمشاكل؟ لنكتشف معًا في هذه القصة.	En varm sommardag kommer en tvättbjörn på ett bra sätt att hålla sig sval. Men varför tycker inte de andra djuren om idén? Hur kunde den leda till trubbel? Låt oss ta reda på det i den här berättelsen.	Op een hete zomerdag heeft een wasbeer een geweldig idee om koel te blijven. Maar waarom vinden de andere dieren het geen goed plan? Waarom zorgt zijn goede idee voor problemen? Dat ontdek je in dit verhaal.	Pewnego słonecznego dnia szop wpadł na pomysł, jak się ochłodzić. Ale dlaczego zwierzętom ten pomysł się nie spodobał? Jak coś tak dobrego mogło przysporzyć tylu kłopotów? Dowiedzmy się z tej historii!
boy.page.1	In the summertime, {NAME:P1} the raccoon enjoyed swimming.\nThis summer, though, was hotter than ever!	Больше всего тёплым летом {NAME:P1} любил купаться. Не зря он\nбыл енотом-полоскуном. И это лето как раз выдалось жарким, как никогда.	Es war Sommer, und {NAME:P1} der Waschbär\ngenoss das Schwimmen. Jedoch war dieser Sommer so heiß wie nie!	Pendant l’été, {NAME:P1} le raton laveur adorait nager.\nCet été, par contre, était plus chaud que jamais !	D’estate al procione {NAME:P1} piaceva nuotare.\nQuell’estate però faceva caldissimo!	Se tinha uma coisa que o guaxinim {NAME:P1} adorava fazer no verão,\nera nadar! Ainda mais em um verão tão quente como esse.	A {NAME:P1}, el mapache, le encantaba nadar en verano.\n¡Pero ese verano era el más caluroso que se recordara!	夏⁠に​なる⁠と、​アライグマ⁠の​{NAME:P1}​は​泳ぎ⁠を​楽しみ⁠ます。\nしかし、​今年⁠は​いつも⁠より​ずっと⁠暑い​夏⁠でし⁠た⁠！	Di musim panas, {NAME:P1} si rakun suka berenang.\nTetapi musim panas ini lebih panas dari sebelumnya!	Ketika musim panas, {NAME:P1} si rakun gemar berenang.\nBagaimanapun, musim panas ini lebih panas daripada biasa!	كلّ صيف، يسبح الراكون {NAME:P1} في الجدول فرحًا منتعشًا،\nلكن هذا الصيف أتى حارًا كالفلفل!	På sommaren tyckte tvättbjörnen {NAME:P1} om att simma.\nDen här sommaren var det ännu varmare än vanligt.	{NAME:P1} de wasbeer vindt het heerlijk om te zwemmen\nin de zomer. En deze zomer is het heter dan ooit!	Latem {NAME:P1}, szop, uwielbiał pływać.\nAle tego lata było goręcej niż kiedykolwiek!
