Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR
title	A Fun Walk	Замечательное путешествие	Ein lustiger Spaziergang	Une promenade amusante	Una passeggiata divertente	Um passeio divertido 	Un paseo divertido	ゆかいなお散歩	Perjalanan Seru	Seronoknya\nBersiar-siar	نزهةٌ ممتعةٌ
author	Lisa Debruyne	Лиза Дебрайне	Lisa Debruyne	Lisa Debruyne	Lisa Debruyne	Lisa Debruyne	Lisa Debruyne	Lisa Debruyne	Lisa Debruyne	Lisa Debruyne	ليزا ديبرين
illustrator	Maia Batumashvili	Майя Батумашвили	Maia Batumashvili	Maia Batumashvili	Maia Batumashvili	Maia Batumashvili	Maia Batumashvili	Maia Batumashvili	Maia Batumashvili	Maia Batumashvili	مايا باتومشفيلي
composer	Artem Akmulin	Артём Акмулин	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	أرتم أكملين
boy.description	One day, a curious wombat goes for a walk. Along the way,\nthey meet strange animals with important life lessons.\nFind out what each animal teaches the wombat in this wild\nand wacky adventure!	Однажды любопытный вомбат вышел на прогулку.\nПо пути ему встретились незнакомые звери, которые\nпреподали ему большие жизненные уроки. Давайте\nпосмотрим, чему же они научили вомбата.	Eines Tages geht ein neugieriger Wombat spazieren.\nAuf dem Weg trifft er merkwürdige Tiere,\ndie Lebensweisheiten erzählen. Finde in diesem verrückten\nAbenteuer heraus, was jedes Tier dem Wombat beibringt.	Lors d'une promenade, un wombat curieux rencontre\nd'étranges animaux qui lui donnent d'importantes leçons\nde vie. Découvrez ce que chaque animal lui apprend dans\ncette aventure sauvage et farfelue !	Un wombat curioso va a fare una passeggiata e incontra\nstrani animali che gli danno importanti lezioni di vita.\nScopri quello che impara il piccolo wombat in questa\navventura selvaggia e divertente!	Certo dia, um vombate curioso sai para um passeio. No\ncaminho, ele encontra estranhos animais com importantes\nlições de vida. Descubra o que cada animal ensina ao\nvombate nessa aventura selvagem e maluca!	Cierto día, un uómbat curioso salió de paseo. En su camino\nencuentra extraños animales, y con ellos valiosas lecciones\nde vida. ¡Averigua qué le enseña cada animal al uómbat\nen esta aventura salvaje y estrafalaria!	ある日、知りたがり屋のウォンバットは散歩に出かけ、変わった動物達に出会い、様々なことを学びます。動物達が何を教えてくれるか、この不思議な冒険から見つけよう！	Suatu hari, seekor wombat yang serba ingin tahu berjalan-jalan. Di jalan dia bertemu hewan-hewan aneh dengan pelajaran hidup penting. Cari tahu apa yang mereka ajarkan ke si wombat di petualangan seru ini!	Suatu hari, wombat yang ingin tahu pergi bersiar-siar. Di jalanan, dia bertemu haiwan ganjil yang mengajar hal penting dalam hidup. Ketahui apa yang dipelajari wombat ini dalam kembara yang liar dan aneh! 	في يومٍ من الأيام، قرر الومبت الفضولي الذهاب في نزهة في الغابة. صادف في طريقه حيواناتٍ غريبةٍ وتعلّم دروسًا مهمةً. دعونا لنكتشف معًا ما علَّمه كل حيوان للومبت في هذه المغامرة المثيرة!
boy.description.iphone	One day, a curious wombat goes for a walk. Along the way, they meet\nstrange animals with important life lessons. Find out what each animal\nteaches the wombat in this wild and wacky adventure!	Однажды любопытный вомбат вышел на прогулку. По пути ему\nвстретились незнакомые звери, которые преподали ему большие\nжизненные уроки. Давайте посмотрим, чему же они научили вомбата.	Eines Tages geht ein neugieriger Wombat spazieren. Auf dem Weg trifft\ner merkwürdige Tiere, die Lebensweisheiten erzählen. Finde in diesem\nverrückten Abenteuer heraus, was jedes Tier dem Wombat beibringt.	Lors d'une promenade, un wombat curieux rencontre d'étranges animaux\nqui lui donnent d'importantes leçons de vie. Découvrez ce que chaque\nanimal lui apprend dans cette aventure sauvage et farfelue !	Un wombat curioso va a fare una passeggiata e incontra strani animali\nche gli danno importanti lezioni di vita. Scopri quello che impara\nil piccolo wombat in questa avventura selvaggia e divertente!	Certo dia, um vombate curioso sai para um passeio. No caminho, ele\nencontra estranhos animais com importantes lições de vida. Descubra o\nque cada animal ensina ao vombate nessa aventura selvagem e maluca!	Cierto día, un uómbat curioso salió de paseo. En su camino encuentra\nextraños animales, y con ellos valiosas lecciones de vida. ¡Averigua qué\nle enseña cada animal al uómbat en esta aventura salvaje y estrafalaria!	ある日、知りたがり屋のウォンバットは散歩に出かけ、変わった動物達に出会い、様々なことを学びます。動物達が何を教えてくれるか、この不思議な冒険から見つけよう！	Suatu hari, seekor wombat yang serba ingin tahu berjalan-jalan. Di jalan dia bertemu hewan-hewan aneh dengan pelajaran hidup penting. Cari tahu apa yang mereka ajarkan ke si wombat di petualangan seru ini!	Suatu hari, wombat yang ingin tahu pergi bersiar-siar. Di jalanan, dia bertemu haiwan ganjil yang mengajar hal penting dalam hidup. Ketahui apa yang dipelajari wombat ini dalam kembara yang liar dan aneh! 	في يومٍ من الأيام، قرر الومبت الفضولي الذهاب في نزهة في الغابة. صادف في طريقه حيواناتٍ غريبةٍ وتعلّم دروسًا مهمةً. دعونا لنكتشف معًا ما علَّمه كل حيوان للومبت في هذه المغامرة المثيرة!
boy.page.1	Somewhere in a dry, beautiful country,\na fluffy wombat snores in the shade of a tree with his family.	Где-то в жаркой, красивой стране, в тени деревьев\nлежит пушистый вомбат вместе со своей семьёй.	Irgendwo in einem trockenen, aber schönen Land schnarcht\nein kuscheliger Wombat mit seiner Familie im Schatten eines Baumes.	Quelque part dans un beau pays sec,\nun wombat ronfle à l'ombre d'un arbre avec sa famille.	In un angolo di un paese bello e arido,\nun morbido wombat ronfa sotto un albero con la sua famiglia.	Em algum lugar de um país belo e quente,\num vombate fofinho ronca à sombra de uma árvore com a sua família.	En algún lugar de un hermoso y árido país,\nun peludo uómbat ronca a la sombra de un árbol junto a su familia.	ある⁠かわい⁠た​美しい​国⁠で、​フワフワ⁠の​ウォン​バット\n家族⁠が、​木かげ⁠で​お⁠昼寝⁠を​し⁠て​い⁠まし⁠た。	Alkisah, di suatu negeri yang kering dan indah, seekor wombat berbulu\ntebal sedang mendengkur di bawah pohon teduh bersama keluarganya.	Di suatu tempat di dalam sebuah negara yang kering tetapi indah,\nseekor wombat yang gebu berdengkur di bawah teduhan pohon bersama keluarganya.	في مكانٍ ما في بلدٍ قاحلٍ وجميلٍ، كان ومبت لطيف نائم في ظلّ شجرة مع عائلته.
boy.page.2	His name is {NAME:P1}. He's young and curious.	Его зовут {NAME:P1}. Он молод и любопытен.	Sein Name ist {NAME:P1}. Er ist sehr jung und auch sehr neugierig.	Il s'appelle {NAME:P1}. Il est jeune et curieux.	È giovane e curioso, e si chiama {NAME:P1}.	O nome dele é {NAME:P1}. Ele é jovem e curioso.	Su nombre es {NAME:P1}. Es joven y curioso.	彼⁠の​名前⁠は​{NAME:P1}​です。​{NAME:P1}​は​若く⁠て、\n色々⁠な​こと⁠に​興味津々⁠です。	Namanya {NAME:P1}. Dia masih muda dan serba ingin tahu.	Namanya {NAME:P1}. Dia masih kecil dan berasa ingin tahu.	كان اسمه {NAME:P1}. وكان يافعًا وفضوليًا.
boy.page.3	“The weather is nice today,” the wombat says.\n{NAME:P1} asks his mom and dad if he can go for a walk.	«Погода сегодня прекрасная», ‒ говорит {NAME:P1}.\nОн просит разрешения у родителей пойти погулять.	„Das Wetter heute ist so gut“, sagt der Wombat. {NAME:P1} fragt\nseine Mama und seinen Papa, ob er spazieren gehen darf.	« Il fait beau aujourd'hui, » dit-il. {NAME:P1} demande\nà sa mère et à son père s'il peut aller faire une promenade.	«È una bella giornata», dice {NAME:P1},\ne poi chiede a mamma e papà il permesso di fare una passeggiata.	“O tempo está ótimo hoje”, diz o vombate. Então {NAME:P1}\npergunta aos seus pais se ele pode sair para um passeio.	“Qué buen tiempo hace hoy”, comenta el uómbat.\n{NAME:P1} pide permiso a su madre para dar un paseo.	「今日⁠は⁠なんて​いい​天気⁠な​ん⁠だ」​{NAME:P1}​は​言い⁠まし⁠た。​{NAME:P1}​は\nお母さん⁠と​お父さん⁠に​散歩⁠に​行っ⁠て​いい⁠か​聞き⁠まし⁠た。	“Hari ini cuacanya bagus,” ujar si wombat.\n{NAME:P1} lalu bertanya pada ibu dan ayahnya apakah dia boleh berjalan-jalan.	“Cuaca hari ini baik,” kata wombat itu.\n{NAME:P1} bertanya ibu dan ayah jika dia boleh pergi bersiar-siar.	قال الومبت: ”الطّقسُ جميلٌ اليوم“.\nثم استأذن {NAME:P1} أمّه وأباه للسّماحِ له بالذّهاب في نزهة.
boy.page.4	“Only if you don't go too far,” his parents say in unison.	«Главное, не уходи слишком далеко», ‒ наказывают ему родители.	„Aber nur, wenn du nicht zu weit gehst“, sagen seine Eltern einstimmig.	« D’accord, mais ne t’éloigne pas trop, » répondent ses parents en chœur.	«Ma non andare troppo lontano», dicono in coro i suoi genitori.	“Só se você não for muito longe”, seus pais respondem ao mesmo tempo.	“Sólo si no te alejas mucho”, le responden sus padres al unísono.	「遠く⁠まで​行か⁠ない​の⁠なら、​行っ⁠て​おい⁠で」\nお母さん⁠と​お父さん⁠は​声⁠を​そろえ⁠て​言い⁠まし⁠た。	“Boleh, asal jangan terlalu jauh,” kedua orang tuanya serentak menjawab.	“Hanya jika kamu tidak pergi terlalu jauh,” kata ibu bapanya serentak.	أجاب والداه معًا: ”يمكنك الذّهابُ، لكن لا تبتعد كثيرًا“.
