Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR
title	A Day In Reverse	День наоборот	Ein umgekehrter Tag	Un Jour à l’Envers	Un giorno\nalla rovescia	Um dia ao contrário	Un día al revés	逆さになった一日	Hari yang Terbalik	Hari Yang Terbalik	يومٌ تنقلب فيه الأدوار
author	Yevgeniia Grebeniuk	Евгения Гребенюк	Yevgeniia Grebeniuk	Yevgeniia Grebeniuk	Yevgeniia Grebeniuk	Yevgeniia Grebeniuk	Yevgeniia Grebeniuk	Yevgeniia Grebeniuk	Yevgeniia Grebeniuk	Yevgeniia Grebeniuk	يفجينيا جريبنوك
illustrator	Natalya Asanova	Наталья Асанова	Natalya Asanova	Natalya Asanova	Natalya Asanova	Natalya Asanova	Natalya Asanova	Natalya Asanova	Natalya Asanova	Natalya Asanova	ناتاليا أسانوفا
composer	Artem Akmulin	Артём Акмулин	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	أرتم أكملين
boy.description	Being an adult is no easy task, but it is even harder\nto suddenly grow up when you are a young child. Our main\ncharacter comes face to face with adult responsibilities\nand realizes how wonderful childhood truly is.	Быть взрослым совсем не просто. Но ещё труднее, когда\nты внезапно повзрослел, будучи ребёнком. Наш главный\nгерой столкнётся лицом к лицу с трудностями взрослой\nжизни и поймёт, как это здорово быть маленьким.	Erwachsen zu sein ist nicht leicht, doch es ist noch\nschwerer, als Kind ganz plötzlich groß zu sein. Unsere\nHauptfigur muss sich dieser Verantwortung stellen\nund erlebt, wie herrlich die Kindheit wirklich ist.	Être adulte est difficile, mais être un enfant qui grandit\nsoudainement l’est encore plus. Notre personnage principal\nfait face à des responsabilités d’adulte et réalise à quel point\nl’enfance est merveilleuse.	Essere adulti non è facile, ma è ancora più difficile diventare\ngrandi all’improvviso. Il nostro protagonista affronterà\nle responsabilità degli adulti e capirà quanto è bello essere\nbambini.	Ser adulto não é fácil, muito menos quando a gente cresce\nde uma hora para outra. Nosso personagem principal fica\ncara a cara com as responsabilidades dos adultos\ne percebe como a infância é realmente maravilhosa.	Ser adulto no es una tarea sencilla, pero es más difícil\naún crecer de golpe cuando eres un niño. Al enfrentarnos\na las responsabilidades de los adultos nos damos cuenta\nlo maravilloso que es ser un niño.	大人になるのは簡単なことではありません。子供が突然大人になるのはもっと大変なことです。主人公は、大人の責任を学び、子供時代の素晴らしさに気づきます。	Menjadi orang dewasa itu tidak mudah, tetapi lebih sulit lagi jika mendadak dewasa saat masih kecil. Karakter utama kita memikul tanggung jawab sebagai orang dewasa dan menyadari indahnya kehidupan masa kecil.	Menjadi orang dewasa bukan mudah, tetapi lebih susah lagi jika tiba-tiba kamu membesar ketika masih kanak-kanak. Watak utama kita mendepani tanggungjawab orang dewasa dan menyedari keindahan zaman kanak-kanak. 	ليس من السهل أن تكون كبيرًا، ولكن من الصعب أيضًا أن تكبر فجأة وتتحمل مسؤوليات الكبار بينما لا تزال طفلاً صغيرًا. يتولى شخصيتنا الرئيسية مسؤوليات الكبار ليوم واحد، لكنه يدرك مدى روعة الطفولة.
boy.description.iphone	Being an adult is no easy task, but it is even harder to suddenly grow up\nwhen you are a young child. Our main character comes face to face\nwith adult responsibilities and realizes how wonderful childhood truly is.	Быть взрослым совсем не просто. Но ещё труднее, когда ты внезапно\nповзрослел, будучи ребёнком. Наш главный герой столкнётся лицом к лицу\nс трудностями взрослой жизни и поймёт, как это здорово быть маленьким.	Erwachsen zu sein ist nicht leicht, doch es ist noch schwerer, als Kind\nganz plötzlich groß zu sein. Unsere Hauptfigur muss sich dieser\nVerantwortung stellen und erlebt, wie herrlich die Kindheit wirklich ist.	Être adulte est difficile, mais être un enfant qui grandit soudainement l’est\nencore plus. Notre personnage principal fait face à des responsabilités\nd’adulte et réalise à quel point l’enfance est merveilleuse.	Essere adulti non è facile, ma è ancora più difficile diventare\ngrandi all’improvviso. Il nostro protagonista affronterà\nle responsabilità degli adulti e capirà quanto è bello essere bambini.	Ser adulto não é fácil, muito menos quando a gente cresce de uma hora para\noutra. Nosso personagem principal fica cara a cara com as responsabilidades\ndos adultos e percebe como a infância é realmente maravilhosa.	Ser adulto no es una tarea sencilla, pero es más difícil aún crecer de golpe\ncuando eres un niño. Al enfrentarnos a las responsabilidades\nde los adultos nos damos cuenta lo maravilloso que es ser un niño.	大人になるのは簡単なことではありません。子供が突然大人になるのはもっと大変なことです。主人公は、大人の責任を学び、子供時代の素晴らしさに気づきます。	Menjadi orang dewasa itu tidak mudah, tetapi lebih sulit lagi jika mendadak dewasa saat masih kecil. Karakter utama kita memikul tanggung jawab sebagai orang dewasa dan menyadari indahnya kehidupan masa kecil.	Menjadi orang dewasa bukan mudah, tetapi lebih susah lagi jika tiba-tiba kamu membesar ketika masih kanak-kanak. Watak utama kita mendepani tanggungjawab orang dewasa dan menyedari keindahan zaman kanak-kanak. 	ليس من السهل أن تكون كبيرًا، ولكن من الصعب أيضًا أن تكبر فجأة وتتحمل مسؤوليات الكبار بينما لا تزال طفلاً صغيرًا. يتولى شخصيتنا الرئيسية مسؤوليات الكبار ليوم واحد، لكنه يدرك مدى روعة الطفولة.
boy.page.1	When all the stars lit up the sky like little lanterns, tired moms and dads\nwere preparing their children for bed after a long day of work.	Когда звёзды загорались в небе, как фонарики,\nи уставшие после работы мамы и папы готовили детей ко сну,	Sobald die Sterne am Himmel wie kleine Laternen leuchten, bereiten Mütter\nund Väter ihre Kinder nach einem langen Tag auf das Schlafengehen vor.	Quand les étoiles illuminaient le ciel, les parents fatigués\nmettaient leurs enfants au lit après une longue journée de travail.	Dopo una lunga giornata, mentre si accendevano una per una le stelle\ndel cielo, le mamme e i papà preparavano i loro bambini ad andare a letto.	Quando as estrelas já iluminavam o céu como lanterninhas, um pai e uma\nmãe cansados colocavam o filho para dormir após um longo dia de trabalho.	Cuando las estrellas aparecen en el cielo como pequeñas linternas,\nlas mamás y los papás acuestan a sus hijos luego de un largo día de trabajo.	星⁠が​小さな⁠ランプ⁠の​よう⁠に​空⁠を​てらす​とき、​長い​一⁠日⁠が​おわっ⁠て、\nつかれ⁠た​親⁠は、​子供⁠たち⁠を​ベッド⁠に、​ねかせる​準備⁠を​し⁠て​い⁠まし⁠た。	Ketika semua bintang menerangi angkasa bak lampu-lampu kecil,\nsetelah bekerja seharian, ayah dan ibu yang penat menyiapkan anak-anak untuk tidur.	Ketika semua bintang berkelip di langit seperti lantera kecil, ibu bapa\nyang keletihan menyiapkan anak-anak untuk tidur selepas bekerja seharian.	حين أضاءت جميع النجوم المتلألئة كفوانيس صغيرة في السماء،\nكانت الأمهات والآباء المتعبون يحضِّرون أطفالهم للنوم بعد يوم عمل طويل.
boy.page.2	{NAME:P1} was already in bed, tucked in with his precious\nblue blanket and holding his favorite plush toy in his little hands.	{NAME:P1} уже лежал в постели, укрытый маленьким\nголубым одеяльцем, сжимая в руках свою любимую мягкую игрушку.	{NAME:P1} lag schon im Bett, unter seiner geliebten blauen Decke,\nund hielt sein Lieblingsplüschtier in den Händen.	{NAME:P1} était déjà au lit, couvert par son duvet bleu\net tenant sa peluche préférée dans ses petites mains.	{NAME:P1} era già nel suo lettino, sotto la sua copertina\nblu preferita, e con il suo adorato pupazzetto tra le mani.	{NAME:P1} já estava na cama, coberto com seu precioso cobertor\nazul e segurando seu bichinho de pelúcia favorito em suas mãozinhas.	{NAME:P1} ya estaba en la cama, acurrucado\ncon su querida frazada azul y abrazando su juguete de peluche preferido.	{NAME:P1}​は、​すでに⁠ベッド⁠の​中⁠に​い⁠ます。​大切⁠な​青い​毛布⁠を​かけ、\n小さな⁠手⁠で​お気に入り⁠の​ぬいぐるみ⁠を​だい⁠て​い⁠ます。	{NAME:P1} sudah berada di tempat tidur, di balik selimut birunya\ndan memegang mainan mahal favoritnya di tangan mungilnya.	{NAME:P1} sudah berada di katil, diselimuti selimut biru kesayangannya\ndan memegang anak patung kegemarannya di tangan.	كان {NAME:P1} في السرير متدثرًا ببطانيته الزرقاء التي يحبّها،\nوكان يحمل في يديه الصّغيرتين دبدوبه المفضّل.
boy.page.3	While reading him a fairy tale,\n{NAME:P2} mom found it difficult to stay awake.	Мама {NAME:P2} читала ему сказку, то и дело засыпая.	Während sie ihm eine Geschichte vorlas,\nfiel es {NAME:P2} Mutter schwer, die Augen offenzuhalten.	Alors qu’elle lui lisait un conte de fée,\nla maman de {NAME:P1} avait du mal à rester éveillée.	La sua mamma gli stava leggendo una favola,\nma era molto stanca e combatteva contro il sonno.	Enquanto lia uma história para ele,\na mãe do {NAME:P1} mal conseguia ficar acordada.	A la mamá de {NAME:P1} le costaba mantenerse\ndespierta mientras le leía un cuento de hadas.	おとぎ話⁠を​読ん⁠で​あげ⁠て​いる​とき、​{NAME:P1}​の​お母さん⁠は、\nねむく​なっ⁠て​き⁠まし⁠た。	Saat membacakan dongeng untuk sang anak,\nibunya {NAME:P1} kesulitan untuk tetap terjaga.	Ketika membacakannya kisah dongeng,\nibu {NAME:P1} berasa amat susah untuk berjaga.	بدأت والدة {NAME:P1} بقراءة قصة خيالية، لكنها لم تقوَ على البقاء مستيقظة.
boy.page.4	{NAME:P1} was not even listening. He was thinking about\nwhat it would be like for everything to exist in reverse, at least for a day.	Но в этот раз {NAME:P1} не слушал сказку. Он думал… Думал\nо том, что было бы, если бы всё вдруг стало наоборот, хотя бы на денёк.	{NAME:P1} hörte nicht richtig zu. Er dachte daran, wie es sein würde,\nwenn alles umgekehrt verlaufen würde, zumindest nur für einen Tag.	{NAME:P1} ne l’écoutait même pas. Il se demandait comment\nserait la vie si tout existait à l’envers, juste pour une journée.	{NAME:P1} non la ascoltava. Pensava piuttosto a quello che sarebbe\nsuccesso se, almeno per un giorno, tutto fosse stato alla rovescia.	{NAME:P1} nem estava escutando. Ele estava pensando sobre\ncomo seria se tudo existisse ao contrário, pelo menos por um dia.	{NAME:P1} no la escuchaba. Pensaba en cómo sería si todo\nlo que existía fuese al revés, al menos por un día.	{NAME:P1}​は、​その⁠お話⁠を​聞い⁠て​い⁠ませ⁠ん⁠でし⁠た。​1⁠日⁠だけ⁠でも、\nすべて⁠が​逆さ⁠に​なっ⁠たら、​どんな⁠感じ⁠だろ⁠う⁠と​考え⁠て​い⁠た​の⁠です。	{NAME:P1} bahkan tidak mendengarkan. Dia sedang berpikir tentang bagaimana\nseandainya semua hal menjadi terbalik, setidaknya sehari saja.	{NAME:P1} tidak mendengar cerita. Dia sedang berfikir apa akan terjadi\njika semua benda wujud secara terbalik, sekurang-kurangnya sehari.	لم يكن {NAME:P1} يصغي إلى القصة أصلاً.\nبل كان يتخيل كيف سيصبح كل شيء لو انقلبت الأدوار، ولو ليوم واحد.
