Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR
title	A Little Ant’s\nBig Job	Маленький\nда удаленький	Kleine Ameise\nganz groß	La mission d’une petite fourmi	Un lavoro\nper la formichina	A missão de uma formiguinha	La gran tarea\nde la hormiguita	小さなアリの\n大きな\n仕事	Pekerjaan Besar\nSi Semut Kecil	Tugas Besar\nSi Semut Kecil	مهمّة كبيرة لنملة صغيرة
author	Michelle Brown	Мишель Браун	Michelle Brown	Michelle Brown	Michelle Brown	Michelle Brown	Michelle Brown	Michelle Brown	Michelle Brown	Michelle Brown	ميشيل براون
illustrator	Elena Burkova	Елена Буркова	Elena Burkova	Elena Burkova	Elena Burkova	Elena Burkova	Elena Burkova	Elena Burkova	Elena Burkova	Elena Burkova	إلينا بوركوفا
composer	Rotem Hecht	Ротем Хечт	Rotem Hecht	Rotem Hecht	Rotem Hecht	Rotem Hecht	Rotem Hecht	Rotem Hecht	Rotem Hecht	Rotem Hecht	روتم هيشت
boy.description	No one looked up to the little ant. They all thought that he\ncouldn’t do anything. He was too little to help. But were\nthe other ants right? Don’t forget that first impressions\nare often misleading.	Никто не хотел считаться с маленьким муравьём,\nпотому что все думали, что он ни на что не способен.\nНо были ли обитатели муравейника правы? Ведь первое\nвпечатление может быть обманчивым.	Alle übergingen die kleine Ameise, und sie trauten ihr\nnichts zu. Sie war zu klein, um zu helfen. Aber hatten\ndie anderen Ameisen recht? Vergiss nie, dass der erste\nEindruck täuschen kann.	Personne ne respectait la petite fourmi. Ils pensaient\nqu’il était trop petit pour aider. Mais les autres fourmis\navaient-elles raison ? N’oubliez pas que les apparences\npeuvent être trompeuses.	Nessuno ammirava la formichina. Pensavano tutti\nche non sapesse fare niente. Era troppo piccola per aiutare.\nMa avevano ragione le altre formiche? Non dimenticare\nche le prime impressioni spesso ingannano.	Ninguém dava a mínima para a formiguinha. Todas\nas outras formigas achavam que ela era pequena demais\npara ajudar. Mas será que elas estavam certas?\nNem sempre a primeira impressão condiz com a realidade.	Nadie valoraba a la pequeña hormiga. Todos pensaban\nque no podía hacer nada. Era demasiado pequeña\npara colaborar. Pero, ¿tenían razón las otras hormigas?\nNunca olvides que la primera impresión suele ser falaz.	小さなアリに期待する者はいません。みんな、小さすぎるアリは何もできないと思っていました。本当にそうでしょうか？第一印象はしばしば誤解を招くことをお忘れなく。	Tidak ada yang menghargai semut kecil itu. Mereka semua mengira dia tidak bisa apa-apa. Dia juga terlalu kecil untuk membantu. Tetapi apakah semut-semut lainnya benar? Jangan lupa, kesan pertama sering menipu.	Tiada sesiapa memandang tinggi kepada semut kecil. Semut lain fikir dia tidak dapat berbuat apa-apa. Dia terlalu kecil untuk membantu. Betulkah kata semut lain? Jangan lupa tanggapan pertama selalunya tersilap.	لم يحترم أحدٌ الشَيْصَبانُ ”ذكر النملة“ الصغير. فبسبب حجمه الضئيل جدًا، ظنّه الجميع عاجزًا عن إنجاز أيّ مهمّة أو تقديم أيّ مساعدة. فهل كانت النّملات الأخريات على حقّ؟ تذكّروا أنّ المظاهر خدّاعة في أغلب الأحيان.
boy.description.iphone	No one looked up to the little ant. They all thought that he couldn’t do\nanything. He was too little to help. But were the other ants right?\nDon’t forget that first impressions are often misleading.	Никто не хотел считаться с маленьким муравьём, потому что все\nдумали, что он ни на что не способен. Но были ли обитатели\nмуравейника правы? Ведь первое впечатление может быть обманчивым.	Alle übergingen die kleine Ameise, und sie trauten ihr nichts zu.\nSie war zu klein, um zu helfen. Aber hatten die anderen Ameisen recht?\nVergiss nie, dass der erste Eindruck täuschen kann.	Personne ne respectait la petite fourmi. Ils pensaient qu’il était trop petit\npour aider. Mais les autres fourmis avaient-elles raison ?\nN’oubliez pas que les apparences peuvent être trompeuses.	Nessuno ammirava la formichina. Pensavano tutti che non sapesse\nfare niente. Era troppo piccola per aiutare. Ma avevano ragione le altre\nformiche? Non dimenticare che le prime impressioni spesso ingannano.	Ninguém dava a mínima para a formiguinha. Todas as outras formigas\nachavam que ela era pequena demais para ajudar. Mas será que elas\nestavam certas? Nem sempre a primeira impressão condiz com a realidade.	Nadie valoraba a la pequeña hormiga. Todos pensaban que no podía hacer\nnada. Era demasiado pequeña para colaborar. Pero, ¿tenían razón las otras\nhormigas? Nunca olvides que la primera impresión suele ser falaz.	小さなアリに期待する者はいません。みんな、小さすぎるアリは何もできないと思っていました。本当にそうでしょうか？第一印象はしばしば誤解を招くことをお忘れなく。	Tidak ada yang menghargai semut kecil itu. Mereka semua mengira dia tidak bisa apa-apa. Dia juga terlalu kecil untuk membantu. Tetapi apakah semut-semut lainnya benar? Jangan lupa, kesan pertama sering menipu.	Tiada sesiapa memandang tinggi kepada semut kecil. Semut lain fikir dia tidak dapat berbuat apa-apa. Dia terlalu kecil untuk membantu. Betulkah kata semut lain? Jangan lupa tanggapan pertama selalunya tersilap.	لم يحترم أحدٌ الشَيْصَبانُ ”ذكر النملة“ الصغير. فبسبب حجمه الضئيل جدًا، ظنّه الجميع عاجزًا عن إنجاز أيّ مهمّة أو تقديم أيّ مساعدة. فهل كانت النّملات الأخريات على حقّ؟ تذكّروا أنّ المظاهر خدّاعة في أغلب الأحيان.
boy.page.1	{NAME:P1} the ant woke up to the sound of marching overhead.\nHe rubbed his sleepy eyes. Where was everyone going?	Муравей {NAME:P1} проснулся от громких звуков марширующих ног\nнад головой. Он потёр заспанные глаза. Куда это все идут?	Marschiergeräusche über ihm weckten {NAME:P1} die Ameise auf.\nEr rieb sich seine schläfrigen Augen. Wo gingen alle hin?	{NAME:P1} la fourmi se réveilla au bruit de pas bruyants à l’étage\ndu dessus. Fatigué, il se frotta les yeux. Mais où allaient-ils tous ?	La formichina {NAME:P1} si svegliò sentendo rumore di piedi in marcia.\nSi strofinò gli occhi assonnato. Dove stavano andando tutti?	Ainda era cedo quando {NAME:P1}, a formiguinha, acordou com um som\nde passos. Sonolento, ele pensou: “mas para onde está indo todo mundo?”	La hormiga {NAME:P1} despertó con el repiqueteo de pasos marchando\nsobre su cabeza. Somnoliento, se restregó los ojos. ¿A dónde iban todos?	アリ⁠の​{NAME:P1}​は、​行進​する​足音⁠を​聞い⁠て​目⁠を​覚まし⁠まし⁠た。\n{NAME:P1}​は​眠い​目⁠を​こすり⁠まし⁠た。​みんな​どこ⁠へ​行く​の⁠でしょ⁠う⁠？	{NAME:P1} si semut terbangun karena suara berbaris di atas kepalanya.\nDia menggosok matanya yang mengantuk. Mau ke mana mereka semua?	{NAME:P1} si semut terjaga oleh bunyi berkawat di atas kepalanya.\nDia menggosok mata yang mengantuk. Ke mana semua semut mahu pergi?	استيقظ الشَيْصَبانُ {NAME:P1} على صوت أقدامٍ تدبّ فوق الأرض.\nفَرك عينيه الناعستين. يا ترى أين يذهب الجميع؟
boy.page.2	From his anthill bedroom, he heard the ant choir singing. It was\nthe queen’s birthday celebration song! {NAME:P1} jumped out of bed.	В его спальню в муравейнике доносилось пение хора. Это была песня\nв честь дня рождения Королевы! {NAME:P1} подскочил с кровати.	Von seinem Schlafzimmer aus hörte er den Chor singen. Es war das Lied\nzur Geburtstagsfeier der Königin! {NAME:P1} sprang aus dem Bett.	Depuis sa chambre, il entendait la chorale de fourmis. C’était le chant\nde célébration de la reine fourmi ! {NAME:P1} sauta du lit.	Dalla camera nel formicaio, sentiva le formiche cantare in coro.\nEra la canzone per il compleanno della regina! {NAME:P1} balzò dal letto.	Do seu quarto, ele ouvia um coro de formigas cantando. Era a música\nde celebração para o aniversário da rainha! {NAME:P1} pulou da cama.	Desde su habitación en el hormiguero escuchó cantar a las hormigas.\n¡Era la canción de cumpleaños de la reina! {NAME:P1} saltó de la cama.	アリ⁠の​巣⁠の​寝室⁠の​外⁠から、​アリ⁠の​合唱⁠が​聞こえ⁠て​き⁠まし⁠た。​それ⁠は\n女王⁠の​誕生⁠日⁠を​祝う​歌⁠でし⁠た⁠！​{NAME:P1}​は​ベッド⁠から​飛び起き⁠まし⁠た。	Dari kamarnya di sarang semut, dia mendengar paduan suara semut.\nLagu perayaan ulang tahun ratu! {NAME:P1} loncat dari tempat tidurnya.	Dari bilik tidurnya di busut semut, dia mendengar koir menyanyi.\nItu lagu sambutan hari lahir permaisuri! {NAME:P1} melompat dari katil.	سمع من غرفته في عشّ النمل غناء الجوقة الموسيقيّة.\nإنها أنشودة الاحتفال بعيد ميلاد الملكة! نَهض {NAME:P1} بحماس من الفراش.
boy.page.3	He ran in the direction of the music. Was it already the queen’s birthday?	Он помчался в направлении, откуда была слышна музыка.\nЭто что, сегодня уже день рождения Королевы?	Er rannte in Richtung der Musik. War denn schon der Geburtstag der Königin?	Il courut en direction de la musique.\nEst-ce que c’était déjà l’anniversaire de la reine ?	Corse in direzione della musica. Era già il compleanno della regina?	E saiu correndo na direção da música.\nSerá que já era o dia do aniversário da rainha?	Corrió hacia la música. ¿Era ya el cumpleaños de la reina?	{NAME:P1}​は​歌⁠が​聞こえる​方⁠へ​走っ⁠て​いき⁠まし⁠た。\n今日⁠は​女王⁠の​誕生⁠日⁠な​の⁠でしょ⁠う⁠か⁠？	Dia berlari ke arah sumber musik itu. Apakah hari ini ulang tahun sang Ratu?	Dia berlari ke arah muzik itu. Adakah hari lahir permaisuri sudah tiba?	ركض باتجاه مصدر الموسيقى. هل هو عيد ميلاد الملكة فعلاً؟
boy.page.4	{NAME:P1} bumped straight into a big,\nstrong ant carrying a whole leaf by himself.	На бегу {NAME:P1} наткнулся на большого, сильного муравья,\nв одиночку тащившего огромный лист.	{NAME:P1} stieß direkt mit einer großen,\nstarken Ameise zusammen, die ganz allein ein Blatt trug.	{NAME:P1} se cogna contre une grande\net impressionnante fourmi qui portait à lui seul une feuille entière.	{NAME:P1} urtò contro una grossa formica forzuta\nche portava una grossa foglia tutta da sola.	No caminho, {NAME:P1} deu de cara com uma formiga grande e forte,\nque estava carregando uma folha inteira sozinha.	{NAME:P1} chocó de frente contra una hormiga grande y fuerte,\nque llevaba, ella sola, una hoja entera.	{NAME:P1}​は、​大きな⁠葉っぱ⁠を​運ん⁠で​いる\n大きく⁠て​強⁠そう⁠な​アリ⁠に​ぶつかり⁠まし⁠た。	{NAME:P1} menyenggol seekor semut besar\ndan kuat yang menggotong sehelai daun utuh sendirian.	{NAME:P1} bertembung dengan seekor semut besar\ndan kuat sedang mengangkat sehelai daun seorang diri.	اصطدم {NAME:P1} بنملة ضخمة قويّة تحمل ورقة شجرٍ كاملة بمفردها.
