Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR
title	A Great Friendship	Большая дружба	Eine wunderbare Freundschaft	Une grande amitié	Una grande amicizia	Uma grande\namizade	Una gran amistad	ステキな友情	Persahabatan\nLuar Biasa	Persahabatan\nYang Hebat	صداقةٌ عظيمة
author	María Rafaela Varuzza	Мария Рафаэла Варуцца	María Rafaela Varuzza	María Rafaela Varuzza	María Rafaela Varuzza	María Rafaela Varuzza	María Rafaela Varuzza	María Rafaela Varuzza	María Rafaela Varuzza	María Rafaela Varuzza	ماريا رافائيلا فاروزّا
illustrator	Leandro Francisca	Леандро Франциска	Leandro Francisca	Leandro Francisca	Leandro Francisca	Leandro Francisca	Leandro Francisca	Leandro Francisca	Leandro Francisca	Leandro Francisca	ليندرو فرانسيسكا
composer	Artem Akmulin	Артём Акмулин	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	أرتم أكملين
boy.description	This is the story of a friendship between a sick man and his dog. The hospital doesn’t allow pets – but will this stop the two friends from seeing each other, or will their friendship find a way?	Эта история о дружбе между человеком, который заболел, и его собакой. В больницу не разрешалось проводить животных. Но помешает ли это друзьям видеть друг друга? Ведь дружба человека и собаки так сильна.	Das ist die Geschichte über die Freundschaft zwischen einem kranken Mann und seinem Hund. Das Krankenhaus erlaubt keine Haustiere – aber wird das die beiden Freunde davon abhalten, sich zu sehen?	Voici l'histoire d'une amitié entre un homme malade et son petit chien. Il doit aller à l'hôpital, mais on n'y accepte pas les animaux de compagnie. Leur amitié pourra-t-elle surmonter cette épreuve ?	Questa è la storia dell’amicizia tra un uomo malato e il suo cane. L’ospedale non ammette animali domestici – ma questo impedirà ai due amici di vedersi, o la loro amicizia riuscirà a superare gli ostacoli?	Esta é a história de uma amizade entre um homem doente e seu cachorrinho. O hospital não permite animais, mas será que isso impedirá os dois amigos de se verem ou eles encontrarão uma saída?	Esta es la historia sobre la amistad entre un hombre enfermo y su perro. El hospital no permitía la entrada de mascotas, pero ¿esto impedirá que los dos amigos se reencuentren?, ¿o la amistad logrará imponerse?	病気になった男性と飼い犬の物語です。病院ではペット同伴は許されていません。2人は会えなくなってしまうのでしょうか、それとも友情が道を切り開くのでしょうか？	Ini kisah persahabatan pria sakit dan anjingnya. Rumah sakit tidak mengizinkan adanya hewan peliharaan – tapi apakah keduanya tidak akan bisa bertemu lagi atau justru persahabatan mereka akan tetap terjalin.	Sebuah kisah persahabatan antara lelaki yang sakit dan anjingnya. Hospital tidak membenarkan anjing masuk – namun adakah ini akan menghalang dua orang kawan bertemu atau mereka tetap akan menemui jalannya?	قصةٌ شيقةٌ لصداقةٍ بين رجلٍ مريضٍ وكلبه الوفيّ. تمنع قوانين المستشفى دخول الحيوانات الأليفة لزيارة المرضى – فهل سيُفرّق هذا الحاجز بين الصديقين، أم أن لصداقتهما قوةً تتخطّى جميع القوانين؟
boy.description.iphone	This is the story of a friendship between a sick man and his dog. The hospital doesn’t allow pets – but will this stop the two friends from seeing each other, or will their friendship find a way?	Эта история о дружбе между человеком, который заболел, и его собакой. В больницу не разрешалось проводить животных. Но помешает ли это друзьям видеть друг друга? Ведь дружба человека и собаки так сильна.	Das ist die Geschichte über die Freundschaft zwischen einem kranken Mann und seinem Hund. Das Krankenhaus erlaubt keine Haustiere – aber wird das die beiden Freunde davon abhalten, sich zu sehen?	Voici l'histoire d'une amitié entre un homme malade et son petit chien. Il doit aller à l'hôpital, mais on n'y accepte pas les animaux de compagnie. Leur amitié pourra-t-elle surmonter cette épreuve ?	Questa è la storia dell’amicizia tra un uomo malato e il suo cane. L’ospedale non ammette animali domestici – ma questo impedirà ai due amici di vedersi, o la loro amicizia riuscirà a superare gli ostacoli?	Esta é a história de uma amizade entre um homem doente e seu cachorrinho. O hospital não permite animais, mas será que isso impedirá os dois amigos de se verem ou eles encontrarão uma saída?	Esta es la historia sobre la amistad entre un hombre enfermo y su perro. El hospital no permitía la entrada de mascotas, pero ¿esto impedirá que los dos amigos se reencuentren?, ¿o la amistad logrará imponerse?	病気になった男性と飼い犬の物語です。病院ではペット同伴は許されていません。2人は会えなくなってしまうのでしょうか、それとも友情が道を切り開くのでしょうか？	Ini kisah persahabatan pria sakit dan anjingnya. Rumah sakit tidak mengizinkan adanya hewan peliharaan – tapi apakah keduanya tidak akan bisa bertemu lagi atau justru persahabatan mereka akan tetap terjalin.	Sebuah kisah persahabatan antara lelaki yang sakit dan anjingnya. Hospital tidak membenarkan anjing masuk – namun adakah ini akan menghalang dua orang kawan bertemu atau mereka tetap akan menemui jalannya?	قصةٌ شيقةٌ لصداقةٍ بين رجلٍ مريضٍ وكلبه الوفيّ. تمنع قوانين المستشفى دخول الحيوانات الأليفة لزيارة المرضى – فهل سيُفرّق هذا الحاجز بين الصديقين، أم أن لصداقتهما قوةً تتخطّى جميع القوانين؟
boy.page.1	One morning, Abel was taking a walk\nwhen he saw a little puppy shivering in the cold.	Как-то утром, выйдя на прогулку,\nЕфим увидел на улице маленького пёсика, дрожащего от холода.	Eines Morgens ging Abel spazieren,\nals er einen kleinen Welpen sah, der zitternd in der Kälte saß.	Un matin, alors qu’il se promenait,\nAbel a aperçu un petit chien qui frissonnait de froid.	Una mattina Alberto stava facendo una passeggiata,\nquando vide un piccolo cucciolo che tremava per il freddo.	Certa manhã, Serafim estava passeando\nquando viu um cachorrinho tremendo de frio.	Una mañana, Itzae estaba dando un paseo\ncuando vio a un cachorrito temblando de frío.	ある⁠朝、​アベベ⁠は​散歩⁠を​し⁠て​いる⁠と、\n寒⁠さ⁠に​ふるえ⁠て​いる​小さな⁠子犬⁠を​見かけ⁠まし⁠た。	Pada suatu pagi, Ogin sedang berjalan-jalan ketika dia\nmelihat seekor anak anjing kecil yang menggigil kedinginan.	Pada suatu pagi, Abel sedang bersiar-siar\ndan ternampak seekor anak anjing menggigil kesejukan.	في صباحٍ مشرق، وبينما كان فراس يتمشى، لمح جروًا صغيرًا يرتجف من شدة البرد.
boy.page.2	“Poor little dog!” Abel said. “I will take care of you.” He took\nthe puppy in his arms, and from that moment on, they were best friends.	«Бедная собачонка! – воскликнул Ефим. – Я о тебе позабочусь».\nОн взял его на руки, и с тех пор они стали неразлучными друзьями.	„Armer kleiner Hund! Ich kümmere mich um dich.“\nAbel hob ihn hoch, und von da an waren sie beste Freunde.	« Pauvre petit chien ! a dit Abel. Je vais prendre soin de toi. »\nIl l’a pris dans ses bras, et ils sont vite devenus les meilleurs amis.	«Povero cagnolino!» Disse Alberto. «Mi prenderò cura di te».\nPrese in braccio il cucciolo e da quel momento divennero migliori amici.	“Tadinho!”, disse Serafim. “Vou cuidar de você.” Ele pegou o cachorrinho\nno colo e, a partir daquele momento, eles se tornaram melhores amigos.	“¡Pobre perrito!”, dijo Itzae al verlo. Tomó al cachorrito entre sus brazos\ny ese día comenzó una gran amistad.	「かわいそう⁠な​子犬⁠！⁠僕⁠が​世話⁠を​し⁠て​あげよ⁠う」​アベベ⁠は​そう⁠言っ⁠て、\n​子犬⁠を​抱き上げ⁠まし⁠た。​すぐ⁠に、​アベベ⁠たち⁠は​親友⁠に​なり⁠まし⁠た。	“Anjing kecil yang malang!” kata Ogin. “Aku akan merawatmu.”\nDia memangku anak anjing itu, dan sejak saat itu, mereka pun bersahabat.	“Kasihan kamu anjing!” kata Abel. “Saya akan menjaga kamu.”\nDia mendukungnya dan sejak saat itu, mereka menjadi kawan baik.	قال فراس: ”يا لك من مسكين أيها الكلب الصغير! سأعتني بك“.\nحمل الجرو بين ذراعيه، ومنذ تلك اللحظة، أصبحا صديقين حميمين.
boy.page.3	He named him {NAME:P1}, and every day after work,\nthey would go for long walks together.	Он назвал пёсика {NAME:P5}. Каждый вечер,\nкогда Ефим приходил с работы, они вместе ходили на прогулку.	Er nannte ihn {NAME:P1}, und jeden Tag nach der Arbeit\nmachten sie gemeinsam einen langen Spaziergang.	Il l’a appelé {NAME:P1}, et tous les jours après le travail,\nils partaient pour de longues promenades.	Lo chiamò {NAME:P1}, e ogni giorno, dopo il lavoro,\nfacevano lunghe passeggiate insieme.	Ele deu o nome de {NAME:P1} para o cachorrinho, e, todos os dias,\ndepois do trabalho, eles saíam para um longo passeio juntos.	Lo llamó {NAME:P1} y todos los días,\ndespués del trabajo, salían juntos a dar largos paseos.	アベベ⁠は​子犬⁠を​{NAME:P1}​と​名付け、\n毎日​仕事⁠が​終わる⁠と​いっしょ⁠に​長い​散歩⁠に​出かけ⁠まし⁠た。	Dia menamai anak anjing itu {NAME:P1},\ndan setiap hari setelah dia pulang bekerja, keduanya berjalan bersama.	Dia menamakannya {NAME:P1} dan setiap hari selepas waktu bekerja,\nmereka akan keluar berjalan bersama.	أطلق عليه اسم {NAME:P1}، وكانا كل يوم،\nبعد عودته من العمل، يخرجان معًا في نزهات طويلة.
boy.page.4	They ate together, celebrated their birthdays together,\nand their friendship continued to grow year after year.	Они вместе ужинали, вместе справляли дни рождения,\nи их дружба только росла из года в год.	Sie aßen zusammen, feierten gemeinsam ihre Geburtstage,\nund ihre Freundschaft wuchs Jahr für Jahr.	Ils mangeaient ensemble, fêtaient leurs anniversaires ensemble\net leur amitié ne cessait de grandir d’année en année.	Mangiavano insieme, festeggiavano insieme i loro compleanni\ne la loro amicizia cresceva di anno in anno.	Eles comiam juntos, comemoravam seus aniversários juntos, e o melhor\nde tudo: a amizade deles ficava cada vez mais forte ao longo dos anos.	Comían juntos, celebraban juntos sus cumpleaños\ny su amistad crecía con el tiempo.	いっしょ⁠に​食事⁠を​し、​いっしょ⁠に​誕生⁠日⁠を​祝い、\nアベベ⁠たち⁠の​友情⁠は​年々​深まっ⁠て​いき⁠まし⁠た。	Mereka makan bersama, merayakan ulang tahun bersama,\ndan persahabatan mereka pun terus tumbuh dari tahun ke tahun.	Mereka makan bersama, meraikan hari lahir bersama\ndan persahabatan mereka bertambah erat saban tahun.	كانا يأكلان معًا، ويحتفلان بأعياد ميلادهما معًا، ونمت صداقتهما عامًا بعد عام.
boy.page.5	Then, one tragic day, Abel got very sick. Before he was taken to the hospital,\nhe asked his neighbor to take care of {NAME:P1}.	Как-то раз Ефим почувствовал себя плохо. Перед тем,\nкак его увезли в больницу, он попросил соседа позаботиться о {NAME:P6}.	Eines Tages wurde Abel krank. Bevor er ins Krankenhaus gebracht wurde,\nbat er seinen Nachbarn, auf {NAME:P1} aufzupassen.	Un jour tragique, Abel est tombé très malade. Avant d’être transporté\nà l’hôpital, il a demandé à son voisin de prendre soin de {NAME:P1}.	Un tragico giorno Alberto si ammalò gravemente. Prima di andare in ospedale,\nchiese al suo vicino di prendersi cura di {NAME:P1}.	Até que, um dia, Serafim ficou muito doente. Antes de ser levado ao hospital,\nele pediu ao seu vizinho para cuidar do {NAME:P1}.	Un día Itzae se enfermó. Antes de que lo llevaran\nal hospital le pidió a su vecina que cuidara a {NAME:P1}.	ある⁠日、​アベベ⁠は​とても⁠具合⁠が​悪く​なり⁠まし⁠た。​病院⁠に​運ば⁠れる⁠前⁠に、\nアベベ⁠は​近所⁠の​人⁠に​{NAME:P1}​の​世話⁠を​お願い​し⁠まし⁠た。	Kemudian, di suatu hari yang menyedihkan, Ogin jatuh sakit. Sebelum dibawa\nke rumah sakit, dia meminta tetangganya untuk merawat {NAME:P1}.	Kemudian, pada suatu hari yang tragis, Abel jatuh sakit.\nSebelum dibawa ke hospital, dia meminta jirannya menjaga {NAME:P1}.	ثم في يومٍ حزين، مرض فراس مرضًا شديدًا.\nوقبل أن يُنقل إلى المستشفى، طلب من جاره أن يعتني ب{NAME:P1}.
boy.page.6	{NAME:P1} lay down and waited patiently for Abel to return.\n“Don’t worry, {NAME:P1}, he will be back soon,” the neighbor said.	{NAME:P1} улёгся в прихожей и стал терпеливо ждать хозяина.\n«Не волнуйся, {NAME:P1}, он скоро вернётся», – сказал сосед.	{NAME:P1} wartete geduldig auf seinen Besitzer.\n„Keine Sorge, {NAME:P1}, er wird bald zurück sein“, sagte der Nachbar.	{NAME:P1} s’est couché pour attendre patiemment son retour.\n« Ne t’inquiète pas, {NAME:P1}, il reviendra bientôt », a dit le voisin.	{NAME:P1} si sdraiò e aspettò pazientemente il ritorno di Alberto.\n«Non preoccuparti, {NAME:P1}, tornerà presto» disse il vicino.	{NAME:P1} se deitou e ficou esperando pelo seu tutor.\n“Não se preocupe, {NAME:P1}. O Serafim vai voltar já já”, disse o vizinho.	{NAME:P1} se acostó y esperó pacientemente que Itzae regresara.\n“No te preocupes, {NAME:P1}, él regresará pronto”, dijo la vecina.	{NAME:P1}​は​横⁠に​なっ⁠て、​じっと⁠アベベ⁠を​待ち⁠まし⁠た。​「心配​し⁠ない⁠で、\n​{NAME:P1}。​アベベ⁠は​すぐ⁠に​帰っ⁠て​くる⁠から」​近所⁠の​人⁠は​言い⁠まし⁠た。	{NAME:P1} berbaring dan sabar menunggu Ogin kembali.\n“Jangan khawatir, {NAME:P1}, dia akan segera kembali,” ujar si tetangga.	{NAME:P1} berbaring dan sabar menunggu Abel pulang.\n“Jangan risau, {NAME:P1}, Abel akan balik tidak lama lagi,” kata jiran itu.	استلقى {NAME:P1} وانتظر بصبر عودة فراس.\nقال له الجار: ”لا تقلق، سيعود قريبًا“.
boy.page.7	Abel was not getting better. He begged the doctor to let his dog visit,\nbut the doctor refused. “No animals allowed in the hospital!”	Но Ефим всё не поправлялся. Он хотел увидеть своего пса, но доктор сказал:\n«К сожалению, мы не пускаем зверей в больницу».	Der Zustand von Abel verbesserte sich nicht, aber sein Hund durfte ihn\nnicht besuchen. Der Arzt sagte: „Tiere dürfen nicht ins Krankenhaus.“	Abel n’allait pas mieux. Il a supplié le médecin de laisser venir son chien,\nmais le médecin a refusé : « Pas d’animaux à l’hôpital ! »	Alberto però non migliorava. Voleva vedere il suo cane, ma il dottore disse:\n«Gli animali non sono ammessi in ospedale!».	Serafim não estava melhorando e implorou ao médico que deixasse seu\ncachorro visitá-lo, mas não funcionou: “Animais são proibidos no hospital!”	Itzae no mejoraba. Suplicó al médico que permitiera que su perro lo visitase,\npero el médico se negó. “¡No se permiten animales en el hospital!”	病気⁠が​良く​なら⁠ない​アベベ⁠は、​{NAME:P1}​を​病院⁠に​連れ⁠て​き⁠たい⁠と\n頼み⁠まし⁠た⁠が、​医者⁠は​言い⁠まし⁠た。​「動物⁠は​病院⁠に​入れ⁠ませ⁠ん」	Ogin tidak kunjung sembuh. Dia memohon dokter agar anjingnya diizinkan\nmasuk, namun dokter menolak. “Hewan dilarang masuk ke rumah sakit!”	Abel tidak bertambah baik. Dia merayu agar doktor membenarkan anjingnya\nmelawat, tetapi doktor menolak. “Haiwan tidak dibenarkan di hospital.”	لكن حالة فراس لم تتحسن. توسل إلى الطبيب أن يسمح لكلبِه بزيارته،\nلكن الطبيب رفض. ”ممنوع دخول الحيوانات إلى المستشفى!“
boy.page.8	{NAME:P1} missed Abel so much that one day, he decided he had had enough.\n“I will just follow Abel’s scent and find him!” he said.	{NAME:P1} тоже скучал по Ефиму. Однажды он решил,\nчто пора что-то делать. «Я просто пойду по его запаху», – подумал он.	{NAME:P1} vermisste Abel so sehr, dass er eine Entscheidung traf:\n„Ich werde einfach seinem Geruch folgen!“	Abel lui manquait tellement qu'un jour, {NAME:P1} a décidé que ça suffisait.\n« Je vais suivre son odeur et le retrouver », a-t-il dit.	{NAME:P1} sentiva così tanto la mancanza di Alberto, che un giorno decise:\n«Seguirò l’odore di Alberto e lo troverò!»	{NAME:P1} também sentia falta do Serafim e, um dia, decidiu ir atrás dele.\n“Já sei, vou seguir o cheiro dele!”, pensou o cãozinho.	{NAME:P1} también lo extrañaba y un día decidió ir a buscarlo.\n“¡Con mi olfato seguiré el rastro de Itzae y lo encontraré!”	{NAME:P1}​は​アベベ⁠に​会い⁠たく⁠て、​ある⁠日、​もう⁠待て⁠ない⁠と​思い⁠まし⁠た。​\n「匂い⁠を​たどっ⁠て、​アベベ⁠を​見つけよ⁠う⁠！」​{NAME:P1}​は​言い⁠まし⁠た。	{NAME:P1} sangat merindukan Ogin hingga suatu hari,\nanjing itu tidak tahan lagi. “Aku akan melacak Ogin sampai ketemu!” pikirnya.	{NAME:P1} amat merindui Abel hingga satu hari, dia tidak dapat menahan\ndiri lagi. “Saya akan ikut saja baunya dan mencarinya!” katanya.	اشتاق {NAME:P1} إلى فراس كثيرًا، وفي أحد الأيام،\nقرر أنه قد طفح به الكيل. قال: ”سأتبع رائحة فراس وأجده!“
boy.page.9	When {NAME:P1} got to the hospital, he cried,\n“Here he is! That smells like Abel to me!”	{NAME:P1} добрался до больницы.\n«Ну, наконец-то, – закричал он, – я нашёл его! Здесь пахнет Ефимом!»	Als {NAME:P1} am Krankenhaus ankam, jaulte er:\n„Da ist er! Das riecht für mich wie Abel!“	Quand {NAME:P1} est arrivé à l’hôpital, il s’est écrié :\n« Il est ici ! Ça sent Abel à plein nez ! »	Quando {NAME:P1} arrivò all’ospedale, gridò:\n«Eccolo! Questo mi sembra l’odore di Alberto!»	Quando {NAME:P1} chegou ao hospital, ele disse:\n“É aqui! Acho que conheço esse cheiro, é do Serafim!”	Cuando {NAME:P1} llegó al hospital exclamó, “¡está aquí, puedo oler a Itzae!”	病院⁠に​着い⁠た​{NAME:P1}​は​叫び⁠まし⁠た。\n「ここ⁠に​いる⁠！⁠アベベ⁠の​匂い⁠が​する⁠！」	Ketika {NAME:P1} sampai di rumah sakit, anjing itu menyalak,\n“Ini dia! Baunya seperti bau Ogin!”	Apabila {NAME:P1} sampai ke hospital dia menangis,\n“Di sinilah dia! Bau ini seperti bau Abel!”	عندما وصل {NAME:P1} إلى المستشفى، صرخ: ”إنه هنا! هذه رائحة فراس!“
boy.page.10	He started barking to get Abel’s attention,\nbut his barking disturbed the patients, and he was quickly chased away.	Он залаял, чтобы привлечь внимание Ефима,\nно его лай мешал пациентам отдыхать, и они прогнали его.	Er bellte, um Abel auf sich aufmerksam zu machen,\naber sein Bellen störte die Patienten, und sie jagten ihn schnell davon.	Il s’est mis à aboyer pour attirer l’attention d’Abel,\nmais ses aboiements dérangeaient les patients, et ils l’ont vite chassé.	Iniziò ad abbaiare per attirare l’attenzione di Alberto,\nma il suo abbaiare disturbò i pazienti, e fu allontanato in fretta.	Ele começou a latir para chamar a atenção do Serafim, mas seu latido\nincomodou os pacientes, que foram logo expulsando o cãozinho de lá.	Comenzó a ladrar para llamar la atención de Itzae,\npero sus ladridos molestaron a los pacientes y lo echaron de allí en seguida.	{NAME:P1}​は​アベベ⁠を​呼ぶ​ため⁠に​ワン​ワン⁠と\nほえ⁠まし⁠た⁠が、​患者⁠たち⁠の​めいわく⁠に​なり、​すぐ⁠に​追い払わ⁠れ⁠まし⁠た。	Dia mulai menggonggong agar Ogin tahu kehadirannya, tetapi suara gonggongannya\nmalah mengganggu para pasien, dan anjing itu pun langsung diusir.	Dia mula menyalak untuk mendapatkan perhatian Abel, tetapi salakannya\nmengganggu pesakit dan mereka cepat-cepat menghalaunya pergi.	بدأ ينبح لجذب انتباه فراس، لكن نباحه أزعج المرضى، فطُرد بسرعة.
