Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR
title	Birds’ Choir	Птичий хор	Der Vogelchor 	La chorale d’oiseaux	Il coro d’uccelli	O coral\nde pássaros	El coro\nde los pájaros	トリのコーラス	Paduan Suara Burung	Koir Burung	فرقة الطيور المُغردة
author	Yuliya Medvedeva	Юлия Медведева	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	Yuliya Medvedeva	يوليا ميدفيديفا
illustrator	Natalya Asanova	Наталья Асанова	Natalya Asanova	Natalya Asanova	Natalya Asanova	Natalya Asanova	Natalya Asanova	Natalya Asanova	Natalya Asanova	Natalya Asanova	ناتاليا أسانوفا
composer	Artem Akmulin	Артём Акмулин	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	أرتم أكملين
boy.description	A starling decided to take part in a bird choir. He learned how to sing and found new friends. But he started to believe he was the most talented of them all! Talent is good, but is it the most important thing?	Решил маленький скворец участвовать в птичьем хоре. Там он научился хорошо петь и обрёл новых друзей, но не заметил, как стал считать себя талантливее всех! Талант – это хорошо, но есть ли что-то более важное?	Ein Star möchte bei einem Vogelchor mitmachen. Er lernt zu singen und findet Freunde. Aber dann fängt er an zu glauben, dass er der talentierteste von allen ist! Talent ist gut, aber ist es das allerwichtigste?	Un étourneau décide de rejoindre une chorale d’oiseaux. Il apprend à chanter, se fait des amis, et commence à croire qu’il est le meilleur d’entre eux ! Le talent, c’est bien, mais est-ce le plus important ?	Uno storno decide di cantare in un coro d’uccelli. Impara a cantare e incontra nuovi amici. Ma presto inizia a credere di essere il più bravo di tutti! Il talento è una cosa bella, ma è davvero così importante?	Um estorninho decidiu entrar em um coral de pássaros. Ele aprendeu a cantar e fez novos amigos, mas começou a achar que era o mais talentoso de todos! Talento é bom, mas será que é o mais importante? 	Un estornino decide participar en un coro de pájaros. Aprende a cantar y encuentra nuevos amigos. ¡Pero empezó a creer que él era el más talentoso de todos! El talento es importante pero, ¿es lo más importante?	ムクドリはトリのコーラスに入り、歌い方を学び、新しい友達を作りました。でも、自分が一番才能があると思い込むように…才能があるのはいいことだけど、一番大切？	Seekor burung jalak ikut paduan suara burung. Dia belajar bernyanyi, dan mendapat teman baru. Tetapi dia mulai meyakini bahwa dia paling berbakat di antara semuanya! Bakat itu baik, tapi apakah hal terpenting?	Si Perling memutuskan untuk menyertai koir burung. Dia belajar menyanyi dan mencari rakan baharu. Namun dia mula percaya dia paling berbakat antara mereka! Bakat itu bagus, tetapi adakah bakat paling penting?	لم يكن العصفور الصغير يظن أنه سيصبح جزءًا من فرقة الطيور المُغردة. تعلم كيف يُغني ووجد أصدقاءً جددًا يشاركونه شغفه. ولكن شيئًا فشيئًا، بدأ يُصدق أنه الأكثر موهبة بينهم جميعًا! الموهبة شيء رائع، ولكن هل هي الأهم حقًا؟
boy.description.iphone	A starling decided to take part in a bird choir. He learned how to sing and found new friends. But he started to believe he was the most talented of them all! Talent is good, but is it the most important thing?	Решил маленький скворец участвовать в птичьем хоре. Там он научился хорошо петь и обрёл новых друзей, но не заметил, как стал считать себя талантливее всех! Талант – это хорошо, но есть ли что-то более важное?	Ein Star möchte bei einem Vogelchor mitmachen. Er lernt zu singen und findet Freunde. Aber dann fängt er an zu glauben, dass er der talentierteste von allen ist! Talent ist gut, aber ist es das allerwichtigste?	Un étourneau décide de rejoindre une chorale d’oiseaux. Il apprend à chanter, se fait des amis, et commence à croire qu’il est le meilleur d’entre eux ! Le talent, c’est bien, mais est-ce le plus important ?	Uno storno decide di cantare in un coro d’uccelli. Impara a cantare e incontra nuovi amici. Ma presto inizia a credere di essere il più bravo di tutti! Il talento è una cosa bella, ma è davvero così importante?	Um estorninho decidiu entrar em um coral de pássaros. Ele aprendeu a cantar e fez novos amigos, mas começou a achar que era o mais talentoso de todos! Talento é bom, mas será que é o mais importante? 	Un estornino decide participar en un coro de pájaros. Aprende a cantar y encuentra nuevos amigos. ¡Pero empezó a creer que él era el más talentoso de todos! El talento es importante pero, ¿es lo más importante?	ムクドリはトリのコーラスに入り、歌い方を学び、新しい友達を作りました。でも、自分が一番才能があると思い込むように…才能があるのはいいことだけど、一番大切？	Seekor burung jalak ikut paduan suara burung. Dia belajar bernyanyi, dan mendapat teman baru. Tetapi dia mulai meyakini bahwa dia paling berbakat di antara semuanya! Bakat itu baik, tapi apakah hal terpenting?	Si Perling memutuskan untuk menyertai koir burung. Dia belajar menyanyi dan mencari rakan baharu. Namun dia mula percaya dia paling berbakat antara mereka! Bakat itu bagus, tetapi adakah bakat paling penting?	لم يكن العصفور الصغير يظن أنه سيصبح جزءًا من فرقة الطيور المُغردة. تعلم كيف يُغني ووجد أصدقاءً جددًا يشاركونه شغفه. ولكن شيئًا فشيئًا، بدأ يُصدق أنه الأكثر موهبة بينهم جميعًا! الموهبة شيء رائع، ولكن هل هي الأهم حقًا؟
boy.page.1	There was a poster in the apple orchard: “Singers, take part in our bird choir.\nOur first meeting will be at noon at the biggest tree.”	В яблоневом саду висело объявление: «Приглашаем птенцов поучаствовать\nв птичьем хоре. Сбор всех желающих в полдень у южной ограды».	Im Apfelgarten gab es einen Aushang: „Sänger, werdet Teil unseres\nVogelchors. Unser erstes Treffen findet mittags am größten Baum statt.“	Il y avait une affiche dans le verger de pommiers : « Oiseaux chanteurs,\nrejoignez notre chorale. Nous serons à midi près du plus grand arbre. »	Un manifesto nel frutteto diceva: «Uccelli canterini, unitevi al coro.\nCi incontreremo per la prima volta a mezzogiorno presso l’albero grande».	“Se você canta, entre no coral de pássaros! Nosso primeiro encontro será\nao meio-dia na grande árvore”, dizia o cartaz no pomar de macieiras.	En el huerto de los manzanos había un cartel: “Cantantes, participen\ndel coro de los pájaros. Nos reunimos al mediodía, en el árbol más grande”.	リンゴ⁠園⁠に​ポスター⁠が​あり⁠まし⁠た。​「歌手⁠の​みなさん、​トリ⁠の​コーラス\nに​参加​し⁠ませ⁠ん⁠か⁠？⁠お昼⁠に、​一番​大きな⁠木⁠で​ミーティング⁠を​し⁠ます」	Terpampang poster di kebun apel: “Para penyanyi, gabunglah di paduan suara\nburung. Pertemuan pertama akan diadakan siang hari di pohon terbesar.”	Tertera poster di kebun epal: “Para penyanyi, mari sertai koir burung.\nMesyuarat pertama kita akan dibuat waktu tengah hari di pohon terbesar.”	بين أشجار التفاح اليانعة، وُجد ملصقٌ كُتبَ عليه: ”أيها المغردون،\nانضموا إلى فرقتنا الموسيقية! موعدنا عند الظهر، عند أكبر شجرة في البستان“.
boy.page.2	By noon many songbirds had gathered at the meeting place.	К полудню у ограды собралось много певчих птиц.	Am Mittag hatten sich viele SIngvögel an dem Treffpunkt versammelt.	À midi, beaucoup d’oiseaux chanteurs\ns’étaient rassemblés au point de rencontre.	A mezzogiorno molti uccelli si radunarono nel luogo prestabilito.	Perto do meio-dia, vários pássaros canoros já se reuniam no local de encontro.	Al mediodía, muchos pájaros cantores se reunieron en el lugar de encuentro.	お昼⁠に​なる⁠と、​たくさん⁠の\nトリ⁠たち⁠が​集まっ⁠て​き⁠まし⁠た。	Menjelang siang hari, banyak burung penyanyi\nyang sudah berkerumun di tempat pertemuan.	Waktu tengah hari, banyak burung\nyang pandai menyanyi berkumpul di tempat mesyuarat.	وما إن حلّت الظهيرة، توافدت أسرابٌ من الطيور المُغرّدة إلى الشجرة الكبيرة.
boy.page.3	Among them was a little starling called {NAME:P1}.\nHe loved singing and he would sing about everything he saw:	Среди них был и маленький скворец {NAME:P1}.\nЕго любимым занятием было петь, и пел он обо всём, что видел:	Unter ihnen war ein kleiner Star namens {NAME:P1}.\nEr liebte das Singen, und er trällerte über alles, was er sah:	Parmi eux se trouvait un petit étourneau appelé {NAME:P1}.\nIl adorait chanter à propos de tout ce qu’il voyait :	Tra loro c’era uno storno di nome {NAME:P1}.\nAmava cantare e tutto quello che vedeva diventava una canzone:	Entre eles, estava um pequeno estorninho chamado {NAME:P1}.\nEle amava cantar! Tudo o que ele via, virava música:	Entre ellos se encontraba un pequeño estornino llamado {NAME:P1}.\nLe encantaba cantar, y le cantaba a todo lo que veía:	その⁠中⁠に​{NAME:P1}​という​小さな⁠ムクドリ⁠が​い⁠まし⁠た。\n{NAME:P1}​は​歌⁠が​大好き⁠で、​見る​もの​すべて⁠について​歌い⁠まし⁠た：	Di antaranya ada seekor burung jalak kecil yang bernama {NAME:P1}.\nDia suka bernyanyi dan akan bernyanyi tentang apa saja yang dia lihat:	Di antara mereka ada si perling kecil dipanggil {NAME:P1}.\nDia suka menyanyi dan akan menyanyi tentang semua perkara yang dilihatnya:	ومن بين تلك الطيور المُتحمّسة، ظهر زرزورٌ صغير يُدعى {NAME:P1}.\nكان يُحبّ الغناء، وكان يُغرّد عن كلّ ما يُحيط به من جمال.
boy.page.4	“What a beautiful sky it is today.\nHow brightly the sun is shining. How splendid the orchard is.”	Какое красивое сегодня небо,\nкак ярко светит солнце, как прекрасен яблоневый сад.	„Was für einen wunderschönen Himmel wir heute haben.\nWie hell die Sonne erstrahlt. Wie prächtig der Garten ist.“	« Quel beau ciel aujourd’hui.\nQuel beau soleil lumineux. Quel magnifique verger. »	«Che bel cielo c’è oggi. Come splende il sole. Che splendido è il nostro frutteto».	“Como o céu está lindo hoje! Como o sol brilha\nintensamente! Como é esplêndido o pomar!”	“Qué hermoso es hoy el cielo. Cuán refulgente es\nel brillo del sol. Qué espléndido es el huerto”.	「今日⁠は⁠なんて​美しい​空⁠な​ん⁠だろ⁠う。​太陽⁠は⁠なんて​明るく⁠て​キラキラ\nし⁠て​いる​ん⁠だろ⁠う。​リンゴ⁠園⁠は⁠なんて​すばらしい​ん⁠だろ⁠う」	“Sungguh indah langit hari ini. Terang sekali\nmatahari bersinar. Bagus sekali kebun apel ini.”	“Betapa cantik langit hari ini. Betapa cerah\npancaran matahari. Betapa indahnya kebun ini.”	”ما أجمل هذه السماء الزرقاء! وكيف تُشرق الشمس\nبضوئها الدافئ! ما أروع هذا البستان الأخضر!“
