Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR
title	A Perfect Home	Самый лучший дом	Ein perfektes Zuhause	Une Maison Parfaite	Una casa perfetta	Uma casa perfeita	Un hogar perfecto	カンペキな家	Rumah yang Sempurna	Rumah Yang Sempurna	البيت المثالي
author	Nicola Snow	Никола Сноу	Nicola Snow	Nicola Snow	Nicola Snow	Nicola Snow	Nicola Snow	Nicola Snow	Nicola Snow	Nicola Snow	نيكولا سنو
illustrator	MEimo siwapon	Мэимо Сивапон	MEimo siwapon	MEimo siwapon	MEimo siwapon	MEimo siwapon	MEimo siwapon	MEimo siwapon	MEimo siwapon	MEimo siwapon	MEimo siwapon
composer	Artem Akmulin	Артём Акмулин	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	أرتم أكملين
boy.description	In this story of perseverance, a little beaver tries to build\na perfect shelter by copying the other forest creatures.\nYet, this young animal soon learns that patience is required\nto create something special.	В этой истории мы узнаем про бобрёнка, который хотел\nпостроить самый лучший дом, подражая другим зверям.\nНо этот малыш вскоре обнаружил, что нужно иметь\nтерпение, чтобы создать что-то особенное.	In dieser Geschichte über Ausdauer versucht ein kleiner\nBiber das perfekte Zuhause zu bauen und kopiert andere\nWaldtiere. Doch das Tierkind lernt schnell, dass Geduld\nnötig ist, um etwas Besonderes zu schaffen.	Dans cette histoire sur la persévérance, un petit castor veut\nconstruire l’abri parfait en copiant les autres créatures\nde la forêt, et apprend vite que la patience est requise\npour créer quelque chose de spécial.	Un giovane castoro cerca di costruire la tana perfetta\ncopiando quella di altri animali della foresta. Imparerà\npresto, però, che servono pazienza e perseveranza\nper creare qualcosa di speciale.	Nesta história de perseverança, um pequeno castor tenta\nconstruir um abrigo perfeito copiando outras criaturas\nda floresta. Mas esse pequeno animal logo aprende\nque é preciso paciência para criar algo especial.	Esta es una historia sobre la perseverancia; un pequeño\ncastor intenta construir un refugio perfecto copiando\na los otros animales del bosque. Y pronto aprende\nque se requiere paciencia para construir algo especial.	小さなビーバーは、森の動物たちのマネをして、カンペキな家を作ろうとします。そして、ビーバーは、特別なものを作るには、ガマンすることが大切だと学びます。	Ini cerita tentang keuletan. Seekor biwara kecil mencoba membangun rumah sempurna dengan meniru penghuni hutan lain. Tetapi, hewan muda ini menyadari bahwa agar tercipta sesuatu yang istimewa, perlu kesabaran.	Dalam kisah ketabahan ini, memerang cuba membina rumah yang sempurna dengan meniru makhluk hutan yang lain. Namun, haiwan cilik ini akhirnya sedar kesabaran adalah perlu untuk mencipta sesuatu yang istimewa.	تتناول هذه القصة أهمّية المثابرة، حيث يحاول قندسٌ صغيرٌ بناء بيتٍ مثاليّ عن طريق تقليد المخلوقات الأخرى في الغابة. ولكن، سرعان ما يكتشف بطلنا الصغير أنّ الصبر ضروريّ لصنع الأشياء المميزة.
boy.description.iphone	In this story of perseverance, a little beaver tries to build a perfect shelter\nby copying the other forest creatures. Yet, this young animal soon learns\nthat patience is required to create something special.	Мы узнаем про бобрёнка, который хотел построить самый лучший\nдом, подражая другим зверям. Но этот малыш вскоре обнаружил,\nчто нужно иметь терпение, чтобы создать что-то особенное.	In dieser Geschichte über Ausdauer versucht ein kleiner Biber das perfekte\nZuhause zu bauen und kopiert andere Waldtiere. Doch das Tierkind lernt\nschnell, dass Geduld nötig ist, um etwas Besonderes zu schaffen.	Dans cette histoire sur la persévérance, un petit castor veut construire\nl’abri parfait en copiant les autres créatures de la forêt, et apprend vite\nque la patience est requise pour créer quelque chose de spécial.	Un giovane castoro cerca di costruire la tana perfetta copiando\nquella di altri animali della foresta. Imparerà presto, però, che servono\npazienza e perseveranza per creare qualcosa di speciale.	Nesta história de perseverança, um pequeno castor tenta construir um\nabrigo perfeito copiando outras criaturas da floresta. Mas esse pequeno\nanimal logo aprende que é preciso paciência para criar algo especial.	Esta es una historia sobre la perseverancia; un pequeño castor intenta\nconstruir un refugio perfecto copiando a los otros animales del bosque.\nY pronto aprende que se requiere paciencia para construir algo especial.	小さなビーバーは、森の動物たちのマネをして、カンペキな家を作ろうとします。そして、ビーバーは、特別なものを作るには、ガマンすることが大切だと学びます。	Ini cerita tentang keuletan. Seekor biwara kecil mencoba membangun rumah sempurna dengan meniru penghuni hutan lain. Tetapi, hewan muda ini menyadari bahwa agar tercipta sesuatu yang istimewa, perlu kesabaran.	Dalam kisah ketabahan ini, memerang cuba membina rumah yang sempurna dengan meniru makhluk hutan yang lain. Namun, haiwan cilik ini akhirnya sedar kesabaran adalah perlu untuk mencipta sesuatu yang istimewa.	تتناول هذه القصة أهمّية المثابرة، حيث يحاول قندسٌ صغيرٌ بناء بيتٍ مثاليّ عن طريق تقليد المخلوقات الأخرى في الغابة. ولكن، سرعان ما يكتشف بطلنا الصغير أنّ الصبر ضروريّ لصنع الأشياء المميزة.
boy.page.1	One sunny morning, {NAME:P1}, a beaver, was walking by the river…	Однажды, солнечным утром бобрёнок\n{NAME:P1} прогуливался вдоль реки…	Eines sonnigen Morgens ging\nder Biber {NAME:P1} am Fluss spazieren…	Un matin ensoleillé, {NAME:P1},\nun castor, marchait près de la rivière…	Una mattina piena di sole, {NAME:P1},\nun giovane castoro, camminava lungo il fiume,	Em uma manhã de sol, {NAME:P1},\num castor, estava caminhando à beira do rio…	Una soleada mañana, {NAME:P1}, un castor, caminaba por el río…	ある⁠晴れ⁠た​朝、​ビーバー⁠の​{NAME:P1}\nは​川辺⁠を​歩い⁠て​い⁠まし⁠た…	Di suatu pagi yang cerah, {NAME:P1},\nseekor biwara, sedang berjalan di di sungai…	Suatu pagi yang cerah, {NAME:P1},\nseekor memerang, berjalan di tepi sungai…	صباحَ أحد الأيام المشمسة، كان القندس {NAME:P1} يسير على ضفاف النهر…
boy.page.2	…when he came across his father gnawing at a tree trunk.	…и вдруг повстречал своего отца, который подтачивал ствол дерева.	…als er seinen Vater traf, der an einem Baumstamm nagte.	…quand il vit son père en train de mâcher un tronc d’arbre.	Quando vide il suo papà tutto intento a rosicchiare un tronco.	…quando ele se deparou com seu pai roendo um tronco de árvore.	…cuando se encontró con su padre, que roía el tronco de un árbol.	すると、​木⁠を​かじっ⁠て​いる\n{NAME:P1}​の​お父さん⁠に​会い⁠まし⁠た。	…ketika dia bertemu dengan ayahnya yang sedang menggigiti batang pohon.	…lalu dia terserempak dengan ayahnya\nyang sedang menggigit-gigit batang pokok.	…حين رأى والده يقضم جذع شجرة.
boy.page.3	“What are you doing?” he asked.	«Что ты делаешь?» ‒ спросил он.	„Was machst du da?“, fragte er.	« Qu’est-ce que tu fais ? » demanda-t-il.	«Che cosa stai facendo?», gli chiese {NAME:P1}.	“O que você está fazendo?”, ele perguntou.	“¿Qué estás haciendo?”, le preguntó.	「何​し​てる⁠の⁠？」\n​{NAME:P1}​は​聞き⁠まし⁠た。	“Apa yang Ayah kerjakan?” dia bertanya.	“Apakah yang sedang ayah buat?” dia bertanya.	سأله: ”ماذا تفعل؟“
boy.page.4	“Building us a dam,” his father replied. “Would you like to help?”	«Строю дамбу для нас, ‒ ответил отец. ‒ Хочешь помочь?»	„Ich baue uns einen Damm“, antwortete sein Vater. „Möchtest du mir helfen?“	« Je construis un barrage, répondit son père. Tu veux m’aider ? »	«Costruisco una diga», rispose il papà. «Ti va di aiutarmi?»	“Construindo uma barragem para a gente”,\nseu pai respondeu. “Quer ajudar?”	“Estoy construyendo un dique”, contestó su padre. “¿Te gustaría ayudarme?”	「ダム⁠を​作っ⁠て​いる​ん⁠だ」​お父さん⁠は​答え⁠まし⁠た。\n「手伝っ⁠て​くれる⁠かい⁠？」	“Membangun bendungan untuk kita,” ayahnya menjawab. “Mau membantu?”	“Membina empangan untuk kita,” ayahnya membalas.\n“Adakah kamu ingin membantu?”	فأجاب والده: ”أبني لنا سدًّا. هل تودّ مساعدتي؟“
