Key	EN	RU	DE	FR	IT	PT	ES	JA	ID	MS	AR
title	All is not Lost	Не всё потеряно	Noch ist nichts verloren	Tout n'est\npas perdu 	Non tutto\nè perduto!	Nem tudo\nestá perdido	No todo\nestá perdido	まだ希望はある	Masih Ada Harapan	Masih Ada\nYang Tinggal	رُبَّ ضارّة نافعة
author	Becky Kleanthous	Бекки Клиентиз	Becky Kleanthous	Becky Kleanthous	Becky Kleanthous	Becky Kleanthous	Becky Kleanthous	Becky Kleanthous	Becky Kleanthous	Becky Kleanthous	بيكي كلينثوس
illustrator	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós	Dois de Nós
composer	Artem Akmulin	Артём Акмулин	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	Artem Akmulin	أرتم أكملين
boy.description	When a child’s bike gets a puncture, plans for the day have\nto change. But it’s not all bad news because when one door\ncloses, another one opens. Maybe there’s something else\njust as fun to do instead!	Когда протыкается шина на твоём велосипеде, все\nпланы на день резко меняются. Но не всё так\nплохо ‒ ведь когда одна дверь закрывается, открывается\nдругая. Может быть, есть что-то поинтереснее!	Als ein Fahrrad einen Platten hat, muss der Tag umgeplant\nwerden. Aber nicht alles daran ist schlecht: Wenn sich eine\nTür schließt, öffnet sich eine andere. Manchmal ist\ndie Alternative genauso spaßig!	Suite à une crevaison, les plans de la journée tombent\nà l'eau. Mais est-ce forcément une mauvaise chose ?\nLorsqu'une porte se ferme, une autre s'ouvre, et une autre\nactivité amusante se profile à l'horizon.	Quando si buca una gomma della bicicletta, si devono\ncambiare i programmi della giornata. Ma a volte,\nse si chiude una porta, si apre un portone,\ned è possibile trovare un altro modo per divertirsi!	Quando o pneu da bicicleta de uma criança fura,\né preciso refazer os planos. Mas nem tudo é má notícia,\njá que quando uma porta se fecha, outra se abre.\nTalvez exista outra coisa igualmente divertida para fazer!	Cuando la bicicleta de un niño se pincha hay que cambiar\nlos planes. Pero no es algo necesariamente malo, ya que\ncuando una puerta se cierra otra se abre. ¡Quizás sólo\nse trate de hacer algo más divertido!	子供の自転車がパンクしたら、その日の予定が変わります。でも、悪いことばかりではありません。一つのドアが閉まれば、別のドアが開き、もっと楽しいことがあるかも！	Ketika sepeda seorang anak bocor, rencana untuk hari itu terpaksa berubah. Tetapi itu bukan akhir dari segalanya karena sewaktu satu pintu tertutup, pintu lain terbuka. Mungkin ada hal lain yang sama serunya!	Apabila basikal kanak-kanak bocor, rancangan hari itu perlu diubah. Namun bukan semuanya tidak bagus kerana ketika satu pintu tertutup, satu pintu lain akan terbuka. Perkara lain pun seronok juga sebagai ganti!	يخرج فتى صغير في رحلة على الدراجات الهوائيّة مع والده. تتعطّل دراجته فجأة، مما يُجبرهما على تغيير مخططهما لذلك اليوم. لكن هناك جانب إيجابيّ دائمًا، فقد ينطلق الاثنان في مغامرة ممتعة بسبب ما حدث!
boy.description.iphone	When a child’s bike gets a puncture, plans for the day have to change.\nBut it’s not all bad news because when one door closes, another one\nopens. Maybe there’s something else just as fun to do instead!	Когда протыкается шина на твоём велосипеде, все планы\nна день резко меняются. Но не всё так плохо ‒ ведь когда\nодна дверь закрывается, открывается другая.	Als ein Fahrrad einen Platten hat, muss der Tag umgeplant werden.\nAber nicht alles daran ist schlecht: Wenn sich eine Tür schließt,\nöffnet sich eine andere. Manchmal ist die Alternative genauso spaßig!	Suite à une crevaison, les plans de la journée tombent à l'eau. Mais\nest-ce forcément une mauvaise chose ? Lorsqu'une porte se ferme,\nune autre s'ouvre, et une autre activité amusante se profile à l'horizon.	Quando si buca una gomma della bicicletta, si devono cambiare\ni programmi della giornata. Ma a volte, se si chiude una porta,\nsi apre un portone, ed è possibile trovare un altro modo per divertirsi!	Quando o pneu da bicicleta de uma criança fura, é preciso refazer\nos planos. Mas nem tudo é má notícia, já que quando uma porta se fecha,\noutra se abre. Talvez exista outra coisa igualmente divertida para fazer!	Cuando la bicicleta de un niño se pincha hay que cambiar los planes.\nPero no es algo necesariamente malo, ya que cuando una puerta\nse cierra otra se abre. ¡Quizás sólo se trate de hacer algo más divertido!	子供の自転車がパンクしたら、その日の予定が変わります。でも、悪いことばかりではありません。一つのドアが閉まれば、別のドアが開き、もっと楽しいことがあるかも！	Ketika sepeda seorang anak bocor, rencana untuk hari itu terpaksa berubah. Tetapi itu bukan akhir dari segalanya karena sewaktu satu pintu tertutup, pintu lain terbuka. Mungkin ada hal lain yang sama serunya!	Apabila basikal kanak-kanak bocor, rancangan hari itu perlu diubah. Namun bukan semuanya tidak bagus kerana ketika satu pintu tertutup, satu pintu lain akan terbuka. Perkara lain pun seronok juga sebagai ganti!	يخرج فتى صغير في رحلة على الدراجات الهوائيّة مع والده. تتعطّل دراجته فجأة، مما يُجبرهما على تغيير مخططهما لذلك اليوم. لكن هناك جانب إيجابيّ دائمًا، فقد ينطلق الاثنان في مغامرة ممتعة بسبب ما حدث!
boy.page.1	“Come on, Dad,” said {NAME:P1}, buckling up\nhis bicycle helmet. It was a beautiful day for a bike ride.	«Погнали, пап!» ‒ крикнул {NAME:P1}, застёгивая на голове\nвелошлем. День располагал к замечательной велосипедной прогулке.	„Komm schon, Papa“, sagte {NAME:P1} und schloss\nseinen Fahrradhelm. Es war ein schöner Tag für eine Radtour.	« Allez, papa » dit {NAME:P1}, en bouclant son casque de vélo.\nC'était une journée parfaite pour une balade à vélo.	«Andiamo, papà!», esclamò {NAME:P1}, mettendosi il caschetto.\nEra una bella giornata, adatta per un giro in bici.	“Vamos, papai!”, disse {NAME:P1}, afivelando seu capacete de bicicleta.\nEra um lindo dia para um passeio de bicicleta.	“Vamos, papá”, dijo {NAME:P1} mientras se abrochaba su casco.\nEra un hermoso día para pasear en bicicleta.	「はやく⁠！⁠お父さん」​{NAME:P1}​は、​自転車⁠の​ヘルメット⁠の​ベルト⁠を​し\nめ​まし⁠た。​天気⁠が​良く⁠て、​サイクリング⁠に⁠は、​ちょうど⁠良い​日⁠でし⁠た。	“Ayo, Yah,” kata {NAME:P1}, sambil memasangkan helm sepedanya.\nHari ini cuacanya bagus untuk bersepeda.	“Jomlah, Ayah,” kata {NAME:P1} sambil mengenakan topi keledar basikalnya.\nHari ini hari yang indah untuk menunggang basikal.	”هيّا، بابا!“ قال {NAME:P1} وهو يثبّت خوذته.\nكان الجوّ مثاليًا للذهاب في جولة على الدراجات الهوائيّة.
boy.page.2	{NAME:P2} dad fetched his own helmet,\nand they set off together on their bright red bicycles.	Папа {NAME:P2} тоже нацепил шлем, и они вдвоём\nотправились в путь на своих ярко-красных велосипедах.	{NAME:P2} Papa nahm seinen eigenen Helm\nund sie fuhren gemeinsam auf ihren grellroten Fahrrädern los.	Le père de {NAME:P1} alla chercher son propre casque,\net ils partirent ensemble, chacun sur son vélo rouge.	Il papà di {NAME:P1} andò a prendersi il caschetto,\ne partirono insieme, con le loro belle bici rosse.	O pai de {NAME:P1} também pegou o capacete dele\ne os dois saíram juntos em suas belas bicicletas vermelhas.	El papá de {NAME:P1} fue a buscar su casco\ny juntos partieron en sus brillantes bicicletas rojas.	お父さん⁠も​ヘルメット⁠を​取っ⁠て​き⁠まし⁠た。\n二⁠人⁠は​真っ赤⁠な​自転車⁠に​乗っ⁠て​出発​し⁠まし⁠た。	Ayah {NAME:P1} mengambil helmnya sendiri, dan mereka berangkat\nbersama-sama dengan sepeda mereka yang warnanya merah menyala.	Ayah {NAME:P1} mengambil topi keledarnya\ndan mereka bertolak bersama-sama menaiki basikal berwarna merah terang.	أحضر والد {NAME:P1} خوذته وانطلق الاثنان معًا،\nكلٌ على دراجته الحمراء اللامعة.
boy.page.3	They rolled through the city from traffic light to traffic light,\npassing buses, shops, and food stalls.	Они катились по городу, от светофора до светофора,\nобгоняя автобусы, минуя магазины и продуктовые ларьки.	Sie fuhren durch die Stadt, von Ampel zu Ampel,\nund kamen an Bussen, Geschäften und Restaurants vorbei.	Ils roulèrent à travers la ville, s'arrêtant aux feux,\npassant devant les bus, les vitrines et les stands de nourriture.	Pedalarono per la città, fermandosi ai semafori\ne superando autobus, negozi e chioschetti.	Eles pedalaram pela cidade de semáforo em semáforo,\npassando por ônibus, lojas e barracas de comida.	Recorrieron la ciudad de semáforo en semáforo,\ndejando atrás autobuses, tiendas y puestos de comida.	信号⁠を​わたっ⁠て、​バス⁠や​お⁠店、\n​屋台⁠を​通っ⁠て、​街⁠の​中⁠を​走り⁠まし⁠た。	Mereka bersepeda di kota melewati beberapa\nlampu merah, bus, toko, dan rumah makan.	Mereka menunggang menempuhi satu demi satu lampu isyarat,\nmelepasi bas, kedai dan gerai makanan.	اجتاز الوالد وابنه المدينة شارعًا تلو الآخر،\nمارّين بالحافلات والمتاجر وأكشاك الطعام.
boy.page.4	Soon, they reached the riverside cycle path.\n{NAME:P1}, as always, greeted the ducks cheerfully.	Вскоре они добрались до велодорожки, ведущей вдоль реки.\n{NAME:P1}, как обычно, весело поприветствовал уток.	Bald schon erreichten sie den Radweg am Fluss.\n{NAME:P1} begrüßte wie immer fröhlich die Enten.	Bientôt, ils atteignirent la piste cyclable le long de la rivière.\nComme toujours, {NAME:P1} fut ravi de retrouver les canards.	Giunsero presto alla pista ciclabile lungo il fiume.\n{NAME:P1}, come sempre, salutò felice le papere.	Logo eles alcançaram a ciclovia que fica às margens do rio.\n{NAME:P1}, como sempre, cumprimentou os patos cheio de ânimo.	Pronto llegaron a la senda para bicicletas al lado del río.\nComo de costumbre, {NAME:P1} saludó a los patos alegremente.	やがて、​川⁠沿い⁠の​サイクリングロード⁠に​つき⁠まし⁠た。​{NAME:P1}​は、\nいつも⁠の​よう⁠に、​アヒル⁠たち⁠に​元気⁠に​あいさつ​し⁠まし⁠た。	Tidak lama kemudian, sampailah mereka ke jalur sepeda di pinggir sungai.\n{NAME:P1}, seperti biasa, menyapa para bebek dengan riang.	Tidak lama kemudian, mereka sampai di laluan berbasikal di tepi sungai.\nSeperti biasa, {NAME:P1} menyapa itik-itik dengan riang.	سرعان ما وصلا إلى المسار المخصّص للدراجات على ضفاف النهر.\nوكالعادة، لوّح {NAME:P1} للبجعات بفرح.
